"Element Code","Scientific Name.x","Scientific Name Synonyms","English Name.x","English Name Synonyms","Class (English)","Scientific Name.y","English Name.y","BirdNET"
"ABPBJ20040","Turdus pilaris",NA,"Fieldfare",NA,"birds","Turdus pilaris","Fieldfare","Turdus pilaris_Fieldfare"
"ABPBJ14010","Oenanthe oenanthe",NA,"Northern Wheatear",NA,"birds","Oenanthe oenanthe","Northern Wheatear","Oenanthe oenanthe_Northern Wheatear"
"ABPBJ27010","Tarsiger cyanurus",NA,"Red-flanked Bluetail",NA,"birds","Tarsiger cyanurus","Red-flanked Bluetail","Tarsiger cyanurus_Red-flanked Bluetail"
"ABPBH01010","Cinclus mexicanus",NA,"American Dipper",NA,"birds","Cinclus mexicanus","American Dipper","Cinclus mexicanus_American Dipper"
"ABPBZ01010","Passer domesticus",NA,"House Sparrow",NA,"birds","Passer domesticus","House Sparrow","Passer domesticus_House Sparrow"
"ABPBL01010","Prunella montanella",NA,"Siberian Accentor",NA,"birds","Prunella montanella","Siberian Accentor","Prunella montanella_Siberian Accentor"
"ABPBM02040","Anthus cervinus",NA,"Red-throated Pipit",NA,"birds","Anthus cervinus","Red-throated Pipit","Anthus cervinus_Red-throated Pipit"
"ABPBM02050","Anthus rubescens","Anthus spinoletta","American Pipit",NA,"birds","Anthus rubescens","Buff-bellied Pipit","Anthus rubescens_Buff-bellied Pipit"
"ABPBM02060","Anthus spragueii",NA,"Sprague's Pipit",NA,"birds","Anthus spragueii","Sprague's Pipit","Anthus spragueii_Sprague's Pipit"
"ABPBM01030","Motacilla alba","Motacilla lugens","White Wagtail","Black-backed Wagtail","birds","Motacilla alba","Pied Wagtail/White Wagtail","Motacilla alba_Pied Wagtail/White Wagtail"
"ABPBM01020","Motacilla cinerea",NA,"Gray Wagtail",NA,"birds","Motacilla cinerea","Grey Wagtail","Motacilla cinerea_Grey Wagtail"
"ABPBM01050","Motacilla citreola",NA,"Citrine Wagtail",NA,"birds","Motacilla citreola","Citrine Wagtail","Motacilla citreola_Citrine Wagtail"
"ABPBM01060","Motacilla tschutschensis","Motacilla flava","Eastern Yellow Wagtail",NA,"birds","Motacilla tschutschensis","Eastern Yellow Wagtail","Motacilla tschutschensis_Eastern Yellow Wagtail"
"ABPBY06010","Acanthis flammea","Carduelis flammea","Common Redpoll",NA,"birds","Acanthis flammea","Common Redpoll","Acanthis flammea_Common Redpoll"
"ABPBY06020","Acanthis hornemanni","Carduelis hornemanni","Hoary Redpoll",NA,"birds","Acanthis hornemanni","Arctic Redpoll","Acanthis hornemanni_Arctic Redpoll"
"ABPBY06130","Chloris sinica",NA,"Oriental Greenfinch",NA,"birds","Chloris sinica","Oriental Greenfinch","Chloris sinica_Oriental Greenfinch"
"ABPBY09020","Coccothraustes vespertinus",NA,"Evening Grosbeak",NA,"birds","Coccothraustes vespertinus","Evening Grosbeak","Coccothraustes vespertinus_Evening Grosbeak"
"ABPBY01020","Fringilla montifringilla",NA,"Brambling",NA,"birds","Fringilla montifringilla","Brambling","Fringilla montifringilla_Brambling"
"ABPBY04030","Haemorhous cassinii",NA,"Cassin's Finch",NA,"birds","Haemorhous cassinii","Cassin's Finch","Haemorhous cassinii_Cassin's Finch"
"ABPBY04040","Haemorhous mexicanus",NA,"House Finch",NA,"birds","Haemorhous mexicanus","House Finch","Haemorhous mexicanus_House Finch"
"ABPBY04020","Haemorhous purpureus",NA,"Purple Finch",NA,"birds","Haemorhous purpureus","Purple Finch","Haemorhous purpureus_Purple Finch"
"ABPBY02030","Leucosticte tephrocotis",NA,"Gray-crowned Rosy-Finch",NA,"birds","Leucosticte tephrocotis","Grey-crowned Rosy-Finch","Leucosticte tephrocotis_Grey-crowned Rosy-Finch"
"ABPBY05050","Loxia curvirostra",NA,"Red Crossbill",NA,"birds","Loxia curvirostra","Common Crossbill","Loxia curvirostra_Common Crossbill"
"ABPBY05020","Loxia leucoptera",NA,"White-winged Crossbill",NA,"birds","Loxia leucoptera","Two-barred Crossbill","Loxia leucoptera_Two-barred Crossbill"
"ABPBY03010","Pinicola enucleator",NA,"Pine Grosbeak",NA,"birds","Pinicola enucleator","Pine Grosbeak","Pinicola enucleator_Pine Grosbeak"
"ABPBY06030","Spinus pinus","Carduelis pinus","Pine Siskin",NA,"birds","Spinus pinus","Pine Siskin","Spinus pinus_Pine Siskin"
"ABPBY06090","Spinus psaltria","Carduelis psaltria","Lesser Goldfinch",NA,"birds","Spinus psaltria","Lesser Goldfinch","Spinus psaltria_Lesser Goldfinch"
"ABPBY06110","Spinus tristis","Carduelis tristis","American Goldfinch",NA,"birds","Spinus tristis","American Goldfinch","Spinus tristis_American Goldfinch"
"ABPBX16030","Cardellina canadensis","Wilsonia canadensis","Canada Warbler",NA,"birds","Cardellina canadensis","Canada Warbler","Cardellina canadensis_Canada Warbler"
"ABPBX16020","Cardellina pusilla","Wilsonia pusilla","Wilson's Warbler",NA,"birds","Cardellina pusilla","Wilson's Warbler","Cardellina pusilla_Wilson's Warbler"
