"Scientific Name","English Name.x","BirdNET","English Name.y","Species Code","Class (English)"
"Alcippe fratercula","Yunnan Fulvetta","Alcippe fratercula_Yunnan Fulvetta",NA,NA,NA
"Alcippe hueti","Huet's Fulvetta","Alcippe hueti_Huet's Fulvetta",NA,NA,NA
"Alcippe morrisonia","Morrison's Fulvetta","Alcippe morrisonia_Morrison's Fulvetta",NA,NA,NA
"Alcippe nipalensis","Nepal Fulvetta","Alcippe nipalensis_Nepal Fulvetta",NA,NA,NA
"Alcippe peracensis","Mountain Fulvetta","Alcippe peracensis_Mountain Fulvetta",NA,NA,NA
"Alcippe poioicephala","Brown-cheeked Fulvetta","Alcippe poioicephala_Brown-cheeked Fulvetta",NA,NA,NA
"Alcippe pyrrhoptera","Javan Fulvetta","Alcippe pyrrhoptera_Javan Fulvetta",NA,NA,NA
"Aleadryas rufinucha","Rufous-naped Bellbird","Aleadryas rufinucha_Rufous-naped Bellbird",NA,NA,NA
"Alectoris barbara","Barbary Partridge","Alectoris barbara_Barbary Partridge",NA,NA,NA
"Alectoris chukar","Chukar","Alectoris chukar_Chukar","Chukar","B-CHUK","birds"
"Alectoris graeca","Rock Partridge","Alectoris graeca_Rock Partridge",NA,NA,NA
"Alectoris rufa","Red-legged Partridge","Alectoris rufa_Red-legged Partridge",NA,NA,NA
"Alectura lathami","Australian Brushturkey","Alectura lathami_Australian Brushturkey",NA,NA,NA
"Alethe castanea","Fire-crested Alethe","Alethe castanea_Fire-crested Alethe",NA,NA,NA
"Alethe diademata","White-tailed Alethe","Alethe diademata_White-tailed Alethe",NA,NA,NA
"Alipiopsitta xanthops","Yellow-faced Parrot","Alipiopsitta xanthops_Yellow-faced Parrot",NA,NA,NA
"Alisterus scapularis","Australian King-Parrot","Alisterus scapularis_Australian King-Parrot",NA,NA,NA
"Allenia fusca","Scaly-breasted Thrasher","Allenia fusca_Scaly-breasted Thrasher",NA,NA,NA
"Allonemobius allardi","Allard's Ground Cricket","Allonemobius allardi_Allard's Ground Cricket",NA,NA,NA
"Allonemobius tinnulus","Tinkling Ground Cricket","Allonemobius tinnulus_Tinkling Ground Cricket",NA,NA,NA
"Allonemobius walkeri","Walker's Ground Cricket","Allonemobius walkeri_Walker's Ground Cricket",NA,NA,NA
"Alophoixus finschii","Finsch's Bulbul","Alophoixus finschii_Finsch's Bulbul",NA,NA,NA
"Alophoixus flaveolus","White-throated Bulbul","Alophoixus flaveolus_White-throated Bulbul",NA,NA,NA
"Alophoixus ochraceus","Ochraceous Bulbul","Alophoixus ochraceus_Ochraceous Bulbul",NA,NA,NA
"Alophoixus pallidus","Puff-throated Bulbul","Alophoixus pallidus_Puff-throated Bulbul",NA,NA,NA
"Alophoixus phaeocephalus","Yellow-bellied Bulbul","Alophoixus phaeocephalus_Yellow-bellied Bulbul",NA,NA,NA
"Alophoixus tephrogenys","Grey-cheeked Bulbul","Alophoixus tephrogenys_Grey-cheeked Bulbul",NA,NA,NA
"Alopochelidon fucata","Tawny-headed Swallow","Alopochelidon fucata_Tawny-headed Swallow",NA,NA,NA
"Alopochen aegyptiaca","Egyptian Goose","Alopochen aegyptiaca_Egyptian Goose",NA,NA,NA
"Alouatta pigra","Mexican Black Howler Monkey","Alouatta pigra_Mexican Black Howler Monkey",NA,NA,NA
"Amalocichla incerta","Lesser Ground-Robin","Amalocichla incerta_Lesser Ground-Robin",NA,NA,NA
"Amandava amandava","Red Avadavat","Amandava amandava_Red Avadavat",NA,NA,NA
"Amaurolimnas concolor","Uniform Crake","Amaurolimnas concolor_Uniform Crake",NA,NA,NA
"Amaurornis isabellina","Isabelline Bush-hen","Amaurornis isabellina_Isabelline Bush-hen",NA,NA,NA
"Amaurornis moluccana","Pale-vented Bush-hen","Amaurornis moluccana_Pale-vented Bush-hen",NA,NA,NA
"Amaurornis phoenicurus","White-breasted Waterhen","Amaurornis phoenicurus_White-breasted Waterhen",NA,NA,NA
"Amaurospiza concolor","Blue Seedeater","Amaurospiza concolor_Blue Seedeater",NA,NA,NA
"Amaurospiza moesta","Blackish-blue Seedeater","Amaurospiza moesta_Blackish-blue Seedeater",NA,NA,NA
"Amazilia luciae","Honduran Emerald","Amazilia luciae_Honduran Emerald",NA,NA,NA
"Amazilia rutila","Cinnamon Hummingbird","Amazilia rutila_Cinnamon Hummingbird",NA,NA,NA
"Amazilia tzacatl","Rufous-tailed Hummingbird","Amazilia tzacatl_Rufous-tailed Hummingbird",NA,NA,NA
"Amazilia yucatanensis","Buff-bellied Hummingbird","Amazilia yucatanensis_Buff-bellied Hummingbird",NA,NA,NA
"Amazilis amazilia","Amazilia Hummingbird","Amazilis amazilia_Amazilia Hummingbird",NA,NA,NA
"Amazona aestiva","Turquoise-fronted Parrot","Amazona aestiva_Turquoise-fronted Parrot",NA,NA,NA
"Amazona agilis","Black-billed Parrot","Amazona agilis_Black-billed Parrot",NA,NA,NA
"Amazona albifrons","White-fronted Parrot","Amazona albifrons_White-fronted Parrot",NA,NA,NA
"Amazona amazonica","Orange-winged Parrot","Amazona amazonica_Orange-winged Parrot",NA,NA,NA
"Amazona auropalliata","Yellow-naped Parrot","Amazona auropalliata_Yellow-naped Parrot",NA,NA,NA
"Amazona autumnalis","Red-lored Parrot","Amazona autumnalis_Red-lored Parrot",NA,NA,NA
"Amazona brasiliensis","Red-tailed Parrot","Amazona brasiliensis_Red-tailed Parrot",NA,NA,NA
"Amazona dufresniana","Blue-cheeked Parrot","Amazona dufresniana_Blue-cheeked Parrot",NA,NA,NA
"Amazona farinosa","Mealy Parrot","Amazona farinosa_Mealy Parrot",NA,NA,NA
"Amazona festiva","Festive Parrot","Amazona festiva_Festive Parrot",NA,NA,NA
"Amazona finschi","Lilac-crowned Parrot","Amazona finschi_Lilac-crowned Parrot",NA,NA,NA
"Amazona kawalli","Kawall's Parrot","Amazona kawalli_Kawall's Parrot",NA,NA,NA
"Amazona leucocephala","Cuban Parrot","Amazona leucocephala_Cuban Parrot",NA,NA,NA
"Amazona mercenarius","Scaly-naped Parrot","Amazona mercenarius_Scaly-naped Parrot",NA,NA,NA
"Amazona ochrocephala","Yellow-crowned Parrot","Amazona ochrocephala_Yellow-crowned Parrot",NA,NA,NA
"Amazona oratrix","Yellow-headed Parrot","Amazona oratrix_Yellow-headed Parrot",NA,NA,NA
"Amazona rhodocorytha","Red-browed Parrot","Amazona rhodocorytha_Red-browed Parrot",NA,NA,NA
