"Scientific Name","English Name.x","BirdNET","English Name.y","Species Code","Class (English)"
"Pseudacris clarkii","Spotted Chorus Frog","Pseudacris clarkii_Spotted Chorus Frog",NA,NA,NA
"Pseudacris crucifer","Spring Peeper","Pseudacris crucifer_Spring Peeper",NA,NA,NA
"Pseudacris feriarum","Upland Chorus Frog","Pseudacris feriarum_Upland Chorus Frog",NA,NA,NA
"Pseudacris nigrita","Southern Chorus Frog","Pseudacris nigrita_Southern Chorus Frog",NA,NA,NA
"Pseudacris ocularis","Little Grass Frog","Pseudacris ocularis_Little Grass Frog",NA,NA,NA
"Pseudacris ornata","Ornate Chorus Frog","Pseudacris ornata_Ornate Chorus Frog",NA,NA,NA
"Pseudacris streckeri","Strecker's Chorus Frog","Pseudacris streckeri_Strecker's Chorus Frog",NA,NA,NA
"Pseudacris triseriata","Striped Chorus Frog","Pseudacris triseriata_Striped Chorus Frog",NA,NA,NA
"Pseudasthenes humicola","Dusky-tailed Canastero","Pseudasthenes humicola_Dusky-tailed Canastero",NA,NA,NA
"Pseudastur albicollis","White Hawk","Pseudastur albicollis_White Hawk",NA,NA,NA
"Pseudastur occidentalis","Grey-backed Hawk","Pseudastur occidentalis_Grey-backed Hawk",NA,NA,NA
"Pseudelaenia leucospodia","Grey-and-white Tyrannulet","Pseudelaenia leucospodia_Grey-and-white Tyrannulet",NA,NA,NA
"Pseudeos cardinalis","Cardinal Lory","Pseudeos cardinalis_Cardinal Lory",NA,NA,NA
"Pseudibis papillosa","Red-naped Ibis","Pseudibis papillosa_Red-naped Ibis",NA,NA,NA
"Pseudocolaptes boissonneautii","Streaked Tuftedcheek","Pseudocolaptes boissonneautii_Streaked Tuftedcheek",NA,NA,NA
"Pseudocolaptes lawrencii","Buffy Tuftedcheek","Pseudocolaptes lawrencii_Buffy Tuftedcheek",NA,NA,NA
"Pseudocolopteryx citreola","Ticking Doradito","Pseudocolopteryx citreola_Ticking Doradito",NA,NA,NA
"Pseudocolopteryx dinelliana","Dinelli's Doradito","Pseudocolopteryx dinelliana_Dinelli's Doradito",NA,NA,NA
"Pseudocolopteryx flaviventris","Warbling Doradito","Pseudocolopteryx flaviventris_Warbling Doradito",NA,NA,NA
"Pseudocolopteryx sclateri","Crested Doradito","Pseudocolopteryx sclateri_Crested Doradito",NA,NA,NA
"Pseudoleistes guirahuro","Yellow-rumped Marshbird","Pseudoleistes guirahuro_Yellow-rumped Marshbird",NA,NA,NA
"Pseudoleistes virescens","Brown-and-yellow Marshbird","Pseudoleistes virescens_Brown-and-yellow Marshbird",NA,NA,NA
"Pseudonestor xanthophrys","Maui Parrotbill","Pseudonestor xanthophrys_Maui Parrotbill",NA,NA,NA
"Pseudonigrita arnaudi","Grey-headed Social-Weaver","Pseudonigrita arnaudi_Grey-headed Social-Weaver",NA,NA,NA
"Pseudopipra pipra","White-crowned Manakin","Pseudopipra pipra_White-crowned Manakin",NA,NA,NA
"Pseudopodoces humilis","Ground Tit","Pseudopodoces humilis_Ground Tit",NA,NA,NA
"Pseudorectes ferrugineus","Rusty Pitohui","Pseudorectes ferrugineus_Rusty Pitohui",NA,NA,NA
"Pseudoseisura cristata","Caatinga Cacholote","Pseudoseisura cristata_Caatinga Cacholote",NA,NA,NA
"Pseudoseisura gutturalis","White-throated Cacholote","Pseudoseisura gutturalis_White-throated Cacholote",NA,NA,NA
"Pseudoseisura lophotes","Brown Cacholote","Pseudoseisura lophotes_Brown Cacholote",NA,NA,NA
"Pseudoseisura unirufa","Rufous Cacholote","Pseudoseisura unirufa_Rufous Cacholote",NA,NA,NA
"Pseudospingus verticalis","Black-headed Hemispingus","Pseudospingus verticalis_Black-headed Hemispingus",NA,NA,NA
"Pseudotriccus pelzelni","Bronze-olive Pygmy-Tyrant","Pseudotriccus pelzelni_Bronze-olive Pygmy-Tyrant",NA,NA,NA
"Pseudotriccus ruficeps","Rufous-headed Pygmy-Tyrant","Pseudotriccus ruficeps_Rufous-headed Pygmy-Tyrant",NA,NA,NA
"Psilopogon annamensis","Indochinese Barbet","Psilopogon annamensis_Indochinese Barbet",NA,NA,NA
"Psilopogon armillaris","Flame-fronted Barbet","Psilopogon armillaris_Flame-fronted Barbet",NA,NA,NA
"Psilopogon asiaticus","Blue-throated Barbet","Psilopogon asiaticus_Blue-throated Barbet",NA,NA,NA
"Psilopogon auricularis","Necklaced Barbet","Psilopogon auricularis_Necklaced Barbet",NA,NA,NA
"Psilopogon australis","Yellow-eared Barbet","Psilopogon australis_Yellow-eared Barbet",NA,NA,NA
"Psilopogon chrysopogon","Gold-whiskered Barbet","Psilopogon chrysopogon_Gold-whiskered Barbet",NA,NA,NA
"Psilopogon corvinus","Brown-throated Barbet","Psilopogon corvinus_Brown-throated Barbet",NA,NA,NA
"Psilopogon duvaucelii","Black-eared Barbet","Psilopogon duvaucelii_Black-eared Barbet",NA,NA,NA
"Psilopogon eximius","Bornean Barbet","Psilopogon eximius_Bornean Barbet",NA,NA,NA
"Psilopogon faber","Chinese Barbet","Psilopogon faber_Chinese Barbet",NA,NA,NA
"Psilopogon faiostrictus","Green-eared Barbet","Psilopogon faiostrictus_Green-eared Barbet",NA,NA,NA
"Psilopogon flavifrons","Yellow-fronted Barbet","Psilopogon flavifrons_Yellow-fronted Barbet",NA,NA,NA
"Psilopogon franklinii","Golden-throated Barbet","Psilopogon franklinii_Golden-throated Barbet",NA,NA,NA
"Psilopogon haemacephalus","Coppersmith Barbet","Psilopogon haemacephalus_Coppersmith Barbet",NA,NA,NA
"Psilopogon henricii","Yellow-crowned Barbet","Psilopogon henricii_Yellow-crowned Barbet",NA,NA,NA
"Psilopogon incognitus","Moustached Barbet","Psilopogon incognitus_Moustached Barbet",NA,NA,NA
"Psilopogon lagrandieri","Red-vented Barbet","Psilopogon lagrandieri_Red-vented Barbet",NA,NA,NA
"Psilopogon lineatus","Lineated Barbet","Psilopogon lineatus_Lineated Barbet",NA,NA,NA
"Psilopogon malabaricus","Malabar Barbet","Psilopogon malabaricus_Malabar Barbet",NA,NA,NA
"Psilopogon monticola","Mountain Barbet","Psilopogon monticola_Mountain Barbet",NA,NA,NA
"Psilopogon mystacophanos","Red-throated Barbet","Psilopogon mystacophanos_Red-throated Barbet",NA,NA,NA
"Psilopogon nuchalis","Taiwan Barbet","Psilopogon nuchalis_Taiwan Barbet",NA,NA,NA
"Psilopogon oorti","Black-browed Barbet","Psilopogon oorti_Black-browed Barbet",NA,NA,NA
"Psilopogon pulcherrimus","Golden-naped Barbet","Psilopogon pulcherrimus_Golden-naped Barbet",NA,NA,NA
"Psilopogon pyrolophus","Fire-tufted Barbet","Psilopogon pyrolophus_Fire-tufted Barbet",NA,NA,NA
"Psilopogon rafflesii","Red-crowned Barbet","Psilopogon rafflesii_Red-crowned Barbet",NA,NA,NA
"Psilopogon rubricapillus","Crimson-fronted Barbet","Psilopogon rubricapillus_Crimson-fronted Barbet",NA,NA,NA
"Psilopogon virens","Great Barbet","Psilopogon virens_Great Barbet",NA,NA,NA
"Psilopogon viridis","White-cheeked Barbet","Psilopogon viridis_White-cheeked Barbet",NA,NA,NA
"Psilopogon zeylanicus","Brown-headed Barbet","Psilopogon zeylanicus_Brown-headed Barbet",NA,NA,NA
"Psilopsiagon aurifrons","Mountain Parakeet","Psilopsiagon aurifrons_Mountain Parakeet",NA,NA,NA
"Psilopsiagon aymara","Grey-hooded Parakeet","Psilopsiagon aymara_Grey-hooded Parakeet",NA,NA,NA
"Psilorhamphus guttatus","Spotted Bamboowren","Psilorhamphus guttatus_Spotted Bamboowren",NA,NA,NA
"Psilorhinus morio","Brown Jay","Psilorhinus morio_Brown Jay",NA,NA,NA
"Psiloscops flammeolus","Flammulated Owl","Psiloscops flammeolus_Flammulated Owl","Flammulated Owl","B-FLOW","birds"
"Psittacara erythrogenys","Red-masked Parakeet","Psittacara erythrogenys_Red-masked Parakeet",NA,NA,NA
"Psittacara finschi","Crimson-fronted Parakeet","Psittacara finschi_Crimson-fronted Parakeet",NA,NA,NA
"Psittacara holochlorus","Green Parakeet","Psittacara holochlorus_Green Parakeet",NA,NA,NA
"Psittacara leucophthalmus","White-eyed Parakeet","Psittacara leucophthalmus_White-eyed Parakeet",NA,NA,NA
"Psittacara mitratus","Mitred Parakeet","Psittacara mitratus_Mitred Parakeet",NA,NA,NA
"Psittacara strenuus","Pacific Parakeet","Psittacara strenuus_Pacific Parakeet",NA,NA,NA
"Psittacara wagleri","Scarlet-fronted Parakeet","Psittacara wagleri_Scarlet-fronted Parakeet",NA,NA,NA
"Psittacula alexandri","Red-breasted Parakeet","Psittacula alexandri_Red-breasted Parakeet",NA,NA,NA
"Psittacula calthrapae","Layard's Parakeet","Psittacula calthrapae_Layard's Parakeet",NA,NA,NA
"Psittacula columboides","Malabar Parakeet","Psittacula columboides_Malabar Parakeet",NA,NA,NA
"Psittacula cyanocephala","Plum-headed Parakeet","Psittacula cyanocephala_Plum-headed Parakeet",NA,NA,NA
"Psittacula eques","Echo Parakeet","Psittacula eques_Echo Parakeet",NA,NA,NA
"Psittacula eupatria","Alexandrine Parakeet","Psittacula eupatria_Alexandrine Parakeet",NA,NA,NA
"Psittacula finschii","Grey-headed Parakeet","Psittacula finschii_Grey-headed Parakeet",NA,NA,NA
"Psittacula himalayana","Slaty-headed Parakeet","Psittacula himalayana_Slaty-headed Parakeet",NA,NA,NA
"Psittacula krameri","Ring-necked Parakeet","Psittacula krameri_Ring-necked Parakeet",NA,NA,NA
"Psittacula longicauda","Long-tailed Parakeet","Psittacula longicauda_Long-tailed Parakeet",NA,NA,NA
"Psittacus erithacus","Grey Parrot","Psittacus erithacus_Grey Parrot",NA,NA,NA
"Psittinus cyanurus","Blue-rumped Parrot","Psittinus cyanurus_Blue-rumped Parrot",NA,NA,NA
"Psittiparus gularis","Grey-headed Parrotbill","Psittiparus gularis_Grey-headed Parrotbill",NA,NA,NA
"Psophia crepitans","Grey-winged Trumpeter","Psophia crepitans_Grey-winged Trumpeter",NA,NA,NA
"Psophia leucoptera","Pale-winged Trumpeter","Psophia leucoptera_Pale-winged Trumpeter",NA,NA,NA
"Psophia viridis","Dark-winged Trumpeter","Psophia viridis_Dark-winged Trumpeter",NA,NA,NA
"Psophocichla litsitsirupa","Groundscraper Thrush","Psophocichla litsitsirupa_Groundscraper Thrush",NA,NA,NA
"Psophodes cristatus","Chirruping Wedgebill","Psophodes cristatus_Chirruping Wedgebill",NA,NA,NA
"Psophodes nigrogularis","Western Whipbird","Psophodes nigrogularis_Western Whipbird",NA,NA,NA
"Psophodes occidentalis","Chiming Wedgebill","Psophodes occidentalis_Chiming Wedgebill",NA,NA,NA
"Psophodes olivaceus","Eastern Whipbird","Psophodes olivaceus_Eastern Whipbird",NA,NA,NA
"Pteridophora alberti","King-of-Saxony Bird-of-Paradise","Pteridophora alberti_King-of-Saxony Bird-of-Paradise",NA,NA,NA
"Pternistis adspersus","Red-billed Spurfowl","Pternistis adspersus_Red-billed Spurfowl",NA,NA,NA
"Pternistis afer","Red-necked Spurfowl","Pternistis afer_Red-necked Spurfowl",NA,NA,NA
"Pternistis ahantensis","Ahanta Spurfowl","Pternistis ahantensis_Ahanta Spurfowl",NA,NA,NA
"Pternistis bicalcaratus","Double-spurred Spurfowl","Pternistis bicalcaratus_Double-spurred Spurfowl",NA,NA,NA
"Pternistis capensis","Cape Spurfowl","Pternistis capensis_Cape Spurfowl",NA,NA,NA
"Pternistis erckelii","Erckel's Spurfowl","Pternistis erckelii_Erckel's Spurfowl",NA,NA,NA
"Pternistis hildebrandti","Hildebrandt's Spurfowl","Pternistis hildebrandti_Hildebrandt's Spurfowl",NA,NA,NA
"Pternistis leucoscepus","Yellow-necked Spurfowl","Pternistis leucoscepus_Yellow-necked Spurfowl",NA,NA,NA
"Pternistis natalensis","Natal Spurfowl","Pternistis natalensis_Natal Spurfowl",NA,NA,NA
"Pternistis squamatus","Scaly Spurfowl","Pternistis squamatus_Scaly Spurfowl",NA,NA,NA
"Pternistis swainsonii","Swainson's Spurfowl","Pternistis swainsonii_Swainson's Spurfowl",NA,NA,NA
"Pterocles alchata","Pin-tailed Sandgrouse","Pterocles alchata_Pin-tailed Sandgrouse",NA,NA,NA
"Pterocles exustus","Chestnut-bellied Sandgrouse","Pterocles exustus_Chestnut-bellied Sandgrouse",NA,NA,NA
"Pterocles namaqua","Namaqua Sandgrouse","Pterocles namaqua_Namaqua Sandgrouse",NA,NA,NA
"Pterocles orientalis","Black-bellied Sandgrouse","Pterocles orientalis_Black-bellied Sandgrouse",NA,NA,NA
"Pterocles senegallus","Spotted Sandgrouse","Pterocles senegallus_Spotted Sandgrouse",NA,NA,NA
"Pterodroma cervicalis","White-necked Petrel","Pterodroma cervicalis_White-necked Petrel",NA,NA,NA
"Pterodroma cookii","Cook's Petrel","Pterodroma cookii_Cook's Petrel","Cook's Petrel","B-COPE","birds"
"Pterodroma externa","Juan Fernandez Petrel","Pterodroma externa_Juan Fernandez Petrel",NA,NA,NA
"Pterodroma hypoleuca","Bonin Petrel","Pterodroma hypoleuca_Bonin Petrel",NA,NA,NA
"Pterodroma inexpectata","Mottled Petrel","Pterodroma inexpectata_Mottled Petrel","Mottled Petrel","B-MOPE","birds"
"Pterodroma madeira","Zino's Petrel","Pterodroma madeira_Zino's Petrel",NA,NA,NA
"Pterodroma neglecta","Kermadec Petrel","Pterodroma neglecta_Kermadec Petrel",NA,NA,NA
"Pterodroma nigripennis","Black-winged Petrel","Pterodroma nigripennis_Black-winged Petrel",NA,NA,NA
"Pterodroma phaeopygia","Galapagos Petrel","Pterodroma phaeopygia_Galapagos Petrel",NA,NA,NA
"Pterodroma sandwichensis","Hawaiian Petrel","Pterodroma sandwichensis_Hawaiian Petrel","Hawaiian Petrel","B-HAPE","birds"
"Pteroglossus aracari","Black-necked Aracari","Pteroglossus aracari_Black-necked Aracari",NA,NA,NA
"Pteroglossus azara","Ivory-billed Aracari","Pteroglossus azara_Ivory-billed Aracari",NA,NA,NA
"Pteroglossus bailloni","Saffron Toucanet","Pteroglossus bailloni_Saffron Toucanet",NA,NA,NA
"Pteroglossus beauharnaisii","Curl-crested Aracari","Pteroglossus beauharnaisii_Curl-crested Aracari",NA,NA,NA
"Pteroglossus bitorquatus","Red-necked Aracari","Pteroglossus bitorquatus_Red-necked Aracari",NA,NA,NA
"Pteroglossus castanotis","Chestnut-eared Aracari","Pteroglossus castanotis_Chestnut-eared Aracari",NA,NA,NA
"Pteroglossus frantzii","Fiery-billed Aracari","Pteroglossus frantzii_Fiery-billed Aracari",NA,NA,NA
"Pteroglossus inscriptus","Lettered Aracari","Pteroglossus inscriptus_Lettered Aracari",NA,NA,NA
"Pteroglossus pluricinctus","Many-banded Aracari","Pteroglossus pluricinctus_Many-banded Aracari",NA,NA,NA
"Pteroglossus torquatus","Collared Aracari","Pteroglossus torquatus_Collared Aracari",NA,NA,NA
"Pterophylla camellifolia","Common True Katydid","Pterophylla camellifolia_Common True Katydid",NA,NA,NA
"Pteroptochos castaneus","Chestnut-throated Huet-huet","Pteroptochos castaneus_Chestnut-throated Huet-huet",NA,NA,NA
"Pteroptochos megapodius","Moustached Turca","Pteroptochos megapodius_Moustached Turca",NA,NA,NA
"Pteroptochos tarnii","Black-throated Huet-huet","Pteroptochos tarnii_Black-throated Huet-huet",NA,NA,NA
"Pterorhinus albogularis","White-throated Laughingthrush","Pterorhinus albogularis_White-throated Laughingthrush",NA,NA,NA
"Pterorhinus berthemyi","Buffy Laughingthrush","Pterorhinus berthemyi_Buffy Laughingthrush",NA,NA,NA
"Pterorhinus chinensis","Black-throated Laughingthrush","Pterorhinus chinensis_Black-throated Laughingthrush",NA,NA,NA
"Pterorhinus davidi","Pere David's Laughingthrush","Pterorhinus davidi_Pere David's Laughingthrush",NA,NA,NA
"Pterorhinus delesserti","Wayanad Laughingthrush","Pterorhinus delesserti_Wayanad Laughingthrush",NA,NA,NA
"Pterorhinus mitratus","Chestnut-capped Laughingthrush","Pterorhinus mitratus_Chestnut-capped Laughingthrush",NA,NA,NA
"Pterorhinus pectoralis","Greater Necklaced Laughingthrush","Pterorhinus pectoralis_Greater Necklaced Laughingthrush",NA,NA,NA
"Pterorhinus perspicillatus","Masked Laughingthrush","Pterorhinus perspicillatus_Masked Laughingthrush",NA,NA,NA
"Pterorhinus poecilorhynchus","Rusty Laughingthrush","Pterorhinus poecilorhynchus_Rusty Laughingthrush",NA,NA,NA
"Pterorhinus ruficollis","Rufous-necked Laughingthrush","Pterorhinus ruficollis_Rufous-necked Laughingthrush",NA,NA,NA
"Pterorhinus sannio","White-browed Laughingthrush","Pterorhinus sannio_White-browed Laughingthrush",NA,NA,NA
"Pterorhinus treacheri","Chestnut-hooded Laughingthrush","Pterorhinus treacheri_Chestnut-hooded Laughingthrush",NA,NA,NA
"Pteruthius aeralatus","White-browed Shrike-Babbler","Pteruthius aeralatus_White-browed Shrike-Babbler",NA,NA,NA
"Pteruthius intermedius","Clicking Shrike-Babbler","Pteruthius intermedius_Clicking Shrike-Babbler",NA,NA,NA
"Pteruthius melanotis","Black-eared Shrike-Babbler","Pteruthius melanotis_Black-eared Shrike-Babbler",NA,NA,NA
"Pteruthius ripleyi","Himalayan Shrike-Babbler","Pteruthius ripleyi_Himalayan Shrike-Babbler",NA,NA,NA
"Pteruthius rufiventer","Black-headed Shrike-Babbler","Pteruthius rufiventer_Black-headed Shrike-Babbler",NA,NA,NA
"Pteruthius xanthochlorus","Green Shrike-Babbler","Pteruthius xanthochlorus_Green Shrike-Babbler",NA,NA,NA
"Ptilinopus iozonus","Orange-bellied Fruit-Dove","Ptilinopus iozonus_Orange-bellied Fruit-Dove",NA,NA,NA
"Ptilinopus magnificus","Wompoo Fruit-Dove","Ptilinopus magnificus_Wompoo Fruit-Dove",NA,NA,NA
"Ptilinopus melanospilus","Black-naped Fruit-Dove","Ptilinopus melanospilus_Black-naped Fruit-Dove",NA,NA,NA
"Ptilinopus occipitalis","Yellow-breasted Fruit-Dove","Ptilinopus occipitalis_Yellow-breasted Fruit-Dove",NA,NA,NA
"Ptilinopus pelewensis","Palau Fruit-Dove","Ptilinopus pelewensis_Palau Fruit-Dove",NA,NA,NA
"Ptilinopus porphyraceus","Crimson-crowned Fruit-Dove","Ptilinopus porphyraceus_Crimson-crowned Fruit-Dove",NA,NA,NA
"Ptilinopus regina","Rose-crowned Fruit-Dove","Ptilinopus regina_Rose-crowned Fruit-Dove",NA,NA,NA
"Ptilinopus rivoli","White-breasted Fruit-Dove","Ptilinopus rivoli_White-breasted Fruit-Dove",NA,NA,NA
"Ptilinopus solomonensis","Yellow-bibbed Fruit-Dove","Ptilinopus solomonensis_Yellow-bibbed Fruit-Dove",NA,NA,NA
"Ptilinopus superbus","Superb Fruit-Dove","Ptilinopus superbus_Superb Fruit-Dove",NA,NA,NA
"Ptilinopus viridis","Claret-breasted Fruit-Dove","Ptilinopus viridis_Claret-breasted Fruit-Dove",NA,NA,NA
"Ptiliogonys caudatus","Long-tailed Silky-flycatcher","Ptiliogonys caudatus_Long-tailed Silky-flycatcher",NA,NA,NA
"Ptiliogonys cinereus","Grey Silky-flycatcher","Ptiliogonys cinereus_Grey Silky-flycatcher",NA,NA,NA
"Ptilocichla falcata","Falcated Wren-Babbler","Ptilocichla falcata_Falcated Wren-Babbler",NA,NA,NA
"Ptilocichla leucogrammica","Bornean Wren-Babbler","Ptilocichla leucogrammica_Bornean Wren-Babbler",NA,NA,NA
"Ptilocichla mindanensis","Striated Wren-Babbler","Ptilocichla mindanensis_Striated Wren-Babbler",NA,NA,NA
"Ptilonorhynchus violaceus","Satin Bowerbird","Ptilonorhynchus violaceus_Satin Bowerbird",NA,NA,NA
"Ptilopachus petrosus","Stone Partridge","Ptilopachus petrosus_Stone Partridge",NA,NA,NA
"Ptiloprora guisei","Rufous-backed Honeyeater","Ptiloprora guisei_Rufous-backed Honeyeater",NA,NA,NA
"Ptiloprora perstriata","Grey-streaked Honeyeater","Ptiloprora perstriata_Grey-streaked Honeyeater",NA,NA,NA
"Ptilopsis leucotis","Northern White-faced Owl","Ptilopsis leucotis_Northern White-faced Owl",NA,NA,NA
"Ptiloris magnificus","Magnificent Riflebird","Ptiloris magnificus_Magnificent Riflebird",NA,NA,NA
"Ptiloris paradiseus","Paradise Riflebird","Ptiloris paradiseus_Paradise Riflebird",NA,NA,NA
"Ptiloris victoriae","Victoria's Riflebird","Ptiloris victoriae_Victoria's Riflebird",NA,NA,NA
"Ptilorrhoa caerulescens","Blue Jewel-babbler","Ptilorrhoa caerulescens_Blue Jewel-babbler",NA,NA,NA
"Ptilorrhoa castanonota","Chestnut-backed Jewel-babbler","Ptilorrhoa castanonota_Chestnut-backed Jewel-babbler",NA,NA,NA
"Ptilorrhoa leucosticta","Spotted Jewel-babbler","Ptilorrhoa leucosticta_Spotted Jewel-babbler",NA,NA,NA
"Ptilostomus afer","Piapiac","Ptilostomus afer_Piapiac",NA,NA,NA
"Ptilotula fusca","Fuscous Honeyeater","Ptilotula fusca_Fuscous Honeyeater",NA,NA,NA
"Ptilotula ornata","Yellow-plumed Honeyeater","Ptilotula ornata_Yellow-plumed Honeyeater",NA,NA,NA
"Ptilotula penicillata","White-plumed Honeyeater","Ptilotula penicillata_White-plumed Honeyeater",NA,NA,NA
"Ptiloxena atroviolacea","Cuban Blackbird","Ptiloxena atroviolacea_Cuban Blackbird",NA,NA,NA
"Ptyonoprogne concolor","Dusky Crag Martin","Ptyonoprogne concolor_Dusky Crag Martin",NA,NA,NA
"Ptyonoprogne fuligula","Rock Martin","Ptyonoprogne fuligula_Rock Martin",NA,NA,NA
"Ptyonoprogne rupestris","Eurasian Crag Martin","Ptyonoprogne rupestris_Eurasian Crag Martin",NA,NA,NA
"Pucrasia macrolopha","Koklass Pheasant","Pucrasia macrolopha_Koklass Pheasant",NA,NA,NA
"Puffinus bailloni","Tropical Shearwater","Puffinus bailloni_Tropical Shearwater",NA,NA,NA
"Puffinus nativitatis","Christmas Shearwater","Puffinus nativitatis_Christmas Shearwater",NA,NA,NA
"Puffinus newelli","Newell's Shearwater","Puffinus newelli_Newell's Shearwater",NA,NA,NA
"Puffinus puffinus","Manx Shearwater","Puffinus puffinus_Manx Shearwater","Manx Shearwater","B-MASH","birds"
"Pulsatrix koeniswaldiana","Tawny-browed Owl","Pulsatrix koeniswaldiana_Tawny-browed Owl",NA,NA,NA
"Pulsatrix melanota","Band-bellied Owl","Pulsatrix melanota_Band-bellied Owl",NA,NA,NA
"Pulsatrix perspicillata","Spectacled Owl","Pulsatrix perspicillata_Spectacled Owl",NA,NA,NA
"Purnella albifrons","White-fronted Honeyeater","Purnella albifrons_White-fronted Honeyeater",NA,NA,NA
"Purpureicephalus spurius","Red-capped Parrot","Purpureicephalus spurius_Red-capped Parrot",NA,NA,NA
"Pycnonotus aurigaster","Sooty-headed Bulbul","Pycnonotus aurigaster_Sooty-headed Bulbul",NA,NA,NA
"Pycnonotus barbatus","Common Bulbul","Pycnonotus barbatus_Common Bulbul",NA,NA,NA
"Pycnonotus brunneus","Red-eyed Bulbul","Pycnonotus brunneus_Red-eyed Bulbul",NA,NA,NA
"Pycnonotus cafer","Red-vented Bulbul","Pycnonotus cafer_Red-vented Bulbul",NA,NA,NA
"Pycnonotus capensis","Cape Bulbul","Pycnonotus capensis_Cape Bulbul",NA,NA,NA
"Pycnonotus conradi","Streak-eared Bulbul","Pycnonotus conradi_Streak-eared Bulbul",NA,NA,NA
"Pycnonotus finlaysoni","Stripe-throated Bulbul","Pycnonotus finlaysoni_Stripe-throated Bulbul",NA,NA,NA
"Pycnonotus flavescens","Flavescent Bulbul","Pycnonotus flavescens_Flavescent Bulbul",NA,NA,NA
"Pycnonotus goiavier","Yellow-vented Bulbul","Pycnonotus goiavier_Yellow-vented Bulbul",NA,NA,NA
"Pycnonotus jocosus","Red-whiskered Bulbul","Pycnonotus jocosus_Red-whiskered Bulbul",NA,NA,NA
"Pycnonotus leucogenys","Himalayan Bulbul","Pycnonotus leucogenys_Himalayan Bulbul",NA,NA,NA
"Pycnonotus leucotis","White-eared Bulbul","Pycnonotus leucotis_White-eared Bulbul",NA,NA,NA
"Pycnonotus luteolus","White-browed Bulbul","Pycnonotus luteolus_White-browed Bulbul",NA,NA,NA
"Pycnonotus nigricans","Black-fronted Bulbul","Pycnonotus nigricans_Black-fronted Bulbul",NA,NA,NA
"Pycnonotus plumosus","Olive-winged Bulbul","Pycnonotus plumosus_Olive-winged Bulbul",NA,NA,NA
"Pycnonotus simplex","Cream-vented Bulbul","Pycnonotus simplex_Cream-vented Bulbul",NA,NA,NA
"Pycnonotus sinensis","Light-vented Bulbul","Pycnonotus sinensis_Light-vented Bulbul",NA,NA,NA
"Pycnonotus striatus","Striated Bulbul","Pycnonotus striatus_Striated Bulbul",NA,NA,NA
"Pycnonotus taivanus","Styan's Bulbul","Pycnonotus taivanus_Styan's Bulbul",NA,NA,NA
"Pycnonotus xantholaemus","Yellow-throated Bulbul","Pycnonotus xantholaemus_Yellow-throated Bulbul",NA,NA,NA
"Pycnonotus xanthopygos","White-spectacled Bulbul","Pycnonotus xanthopygos_White-spectacled Bulbul",NA,NA,NA
"Pycnonotus xanthorrhous","Brown-breasted Bulbul","Pycnonotus xanthorrhous_Brown-breasted Bulbul",NA,NA,NA
"Pycnonotus zeylanicus","Straw-headed Bulbul","Pycnonotus zeylanicus_Straw-headed Bulbul",NA,NA,NA
"Pycnoptilus floccosus","Pilotbird","Pycnoptilus floccosus_Pilotbird",NA,NA,NA
"Pygarrhichas albogularis","White-throated Treerunner","Pygarrhichas albogularis_White-throated Treerunner",NA,NA,NA
"Pygiptila stellaris","Spot-winged Antshrike","Pygiptila stellaris_Spot-winged Antshrike",NA,NA,NA
"Pygochelidon cyanoleuca","Blue-and-white Swallow","Pygochelidon cyanoleuca_Blue-and-white Swallow",NA,NA,NA
"Pygoscelis adeliae","Adelie Penguin","Pygoscelis adeliae_Adelie Penguin",NA,NA,NA
"Pygoscelis antarcticus","Chinstrap Penguin","Pygoscelis antarcticus_Chinstrap Penguin",NA,NA,NA
"Pygoscelis papua","Gentoo Penguin","Pygoscelis papua_Gentoo Penguin",NA,NA,NA
"Pyriglena atra","Fringe-backed Fire-eye","Pyriglena atra_Fringe-backed Fire-eye",NA,NA,NA
"Pyriglena leuconota","East Amazonian Fire-eye","Pyriglena leuconota_East Amazonian Fire-eye",NA,NA,NA
"Pyriglena leucoptera","White-shouldered Fire-eye","Pyriglena leucoptera_White-shouldered Fire-eye",NA,NA,NA
"Pyriglena maura","Western Fire-eye","Pyriglena maura_Western Fire-eye",NA,NA,NA
"Pyrilia barrabandi","Orange-cheeked Parrot","Pyrilia barrabandi_Orange-cheeked Parrot",NA,NA,NA
"Pyrilia caica","Caica Parrot","Pyrilia caica_Caica Parrot",NA,NA,NA
"Pyrilia haematotis","Brown-hooded Parrot","Pyrilia haematotis_Brown-hooded Parrot",NA,NA,NA
"Pyrilia pulchra","Rose-faced Parrot","Pyrilia pulchra_Rose-faced Parrot",NA,NA,NA
"Pyrilia pyrilia","Saffron-headed Parrot","Pyrilia pyrilia_Saffron-headed Parrot",NA,NA,NA
"Pyrocephalus rubinus","Vermilion Flycatcher","Pyrocephalus rubinus_Vermilion Flycatcher","Vermilion Flycatcher","B-VEFL","birds"
"Pyroderus scutatus","Red-ruffed Fruitcrow","Pyroderus scutatus_Red-ruffed Fruitcrow",NA,NA,NA
"Pyrope pyrope","Fire-eyed Diucon","Pyrope pyrope_Fire-eyed Diucon",NA,NA,NA
"Pyrrhocorax graculus","Alpine Chough","Pyrrhocorax graculus_Alpine Chough",NA,NA,NA
