Scientific Name,English Name (BirdNET),BirdNET,English Name (in BC),Class (if in BC list)
Aethopyga saturata,Black-throated Sunbird,Aethopyga saturata_Black-throated Sunbird,NA,NA
Aethopyga siparaja,Crimson Sunbird,Aethopyga siparaja_Crimson Sunbird,NA,NA
Aethopyga temminckii,Temminck's Sunbird,Aethopyga temminckii_Temminck's Sunbird,NA,NA
Aethopyga vigorsii,Vigors's Sunbird,Aethopyga vigorsii_Vigors's Sunbird,NA,NA
Agapornis canus,Grey-headed Lovebird,Agapornis canus_Grey-headed Lovebird,NA,NA
Agapornis fischeri,Fischer's Lovebird,Agapornis fischeri_Fischer's Lovebird,NA,NA
Agapornis personatus,Yellow-collared Lovebird,Agapornis personatus_Yellow-collared Lovebird,NA,NA
Agapornis roseicollis,Rosy-faced Lovebird,Agapornis roseicollis_Rosy-faced Lovebird,NA,NA
Agapornis taranta,Black-winged Lovebird,Agapornis taranta_Black-winged Lovebird,NA,NA
Agelaioides badius,Greyish Baywing,Agelaioides badius_Greyish Baywing,NA,NA
Aegolius funereus,Tengmalm's Owl,Aegolius funereus_Tengmalm's Owl,Boreal Owl,birds
Agelaius tricolor,Tricoloured Blackbird,Agelaius tricolor_Tricoloured Blackbird,NA,NA
Agelasticus cyanopus,Unicoloured Blackbird,Agelasticus cyanopus_Unicoloured Blackbird,NA,NA
Agelasticus thilius,Yellow-winged Blackbird,Agelasticus thilius_Yellow-winged Blackbird,NA,NA
Agelasticus xanthophthalmus,Pale-eyed Blackbird,Agelasticus xanthophthalmus_Pale-eyed Blackbird,NA,NA
Aglaiocercus coelestis,Violet-tailed Sylph,Aglaiocercus coelestis_Violet-tailed Sylph,NA,NA
Aglaiocercus kingii,Long-tailed Sylph,Aglaiocercus kingii_Long-tailed Sylph,NA,NA
Agriornis montanus,Black-billed Shrike-Tyrant,Agriornis montanus_Black-billed Shrike-Tyrant,NA,NA
Agropsar philippensis,Chestnut-cheeked Starling,Agropsar philippensis_Chestnut-cheeked Starling,NA,NA
Agropsar sturninus,Daurian Starling,Agropsar sturninus_Daurian Starling,NA,NA
Ailuroedus crassirostris,Green Catbird,Ailuroedus crassirostris_Green Catbird,NA,NA
Ailuroedus maculosus,Spotted Catbird,Ailuroedus maculosus_Spotted Catbird,NA,NA
Aimophila notosticta,Oaxaca Sparrow,Aimophila notosticta_Oaxaca Sparrow,NA,NA
Aimophila rufescens,Rusty Sparrow,Aimophila rufescens_Rusty Sparrow,NA,NA
Aimophila ruficeps,Rufous-crowned Sparrow,Aimophila ruficeps_Rufous-crowned Sparrow,NA,NA
Aix galericulata,Mandarin Duck,Aix galericulata_Mandarin Duck,NA,NA
Aeronautes saxatalis,White-throated Swift,Aeronautes saxatalis_White-throated Swift,White-throated Swift,birds
Akletos goeldii,Goeldi's Antbird,Akletos goeldii_Goeldi's Antbird,NA,NA
Akletos melanoceps,White-shouldered Antbird,Akletos melanoceps_White-shouldered Antbird,NA,NA
Alaemon alaudipes,Greater Hoopoe-Lark,Alaemon alaudipes_Greater Hoopoe-Lark,NA,NA
Aethia cristatella,NA,NA,Crested Auklet,birds
Alauda gulgula,Oriental Skylark,Alauda gulgula_Oriental Skylark,NA,NA
Alaudala cheleensis,Asian Short-toed Lark,Alaudala cheleensis_Asian Short-toed Lark,NA,NA
Alaudala heinei,Turkestan Short-toed Lark,Alaudala heinei_Turkestan Short-toed Lark,NA,NA
Alaudala raytal,Sand Lark,Alaudala raytal_Sand Lark,NA,NA
Alaudala rufescens,Mediterranean Short-toed Lark,Alaudala rufescens_Mediterranean Short-toed Lark,NA,NA
Alaudala somalica,Somali Short-toed Lark,Alaudala somalica_Somali Short-toed Lark,NA,NA
Alca torda,Razorbill,Alca torda_Razorbill,NA,NA
Alcedo atthis,Common Kingfisher,Alcedo atthis_Common Kingfisher,NA,NA
Alcedo meninting,Blue-eared Kingfisher,Alcedo meninting_Blue-eared Kingfisher,NA,NA
Alcippe brunneicauda,Brown Fulvetta,Alcippe brunneicauda_Brown Fulvetta,NA,NA
Alcippe fratercula,Yunnan Fulvetta,Alcippe fratercula_Yunnan Fulvetta,NA,NA
Alcippe hueti,Huet's Fulvetta,Alcippe hueti_Huet's Fulvetta,NA,NA
Alcippe morrisonia,Morrison's Fulvetta,Alcippe morrisonia_Morrison's Fulvetta,NA,NA
Alcippe nipalensis,Nepal Fulvetta,Alcippe nipalensis_Nepal Fulvetta,NA,NA
Alcippe peracensis,Mountain Fulvetta,Alcippe peracensis_Mountain Fulvetta,NA,NA
Alcippe poioicephala,Brown-cheeked Fulvetta,Alcippe poioicephala_Brown-cheeked Fulvetta,NA,NA
Alcippe pyrrhoptera,Javan Fulvetta,Alcippe pyrrhoptera_Javan Fulvetta,NA,NA
Aleadryas rufinucha,Rufous-naped Bellbird,Aleadryas rufinucha_Rufous-naped Bellbird,NA,NA
Alectoris barbara,Barbary Partridge,Alectoris barbara_Barbary Partridge,NA,NA
Aethia psittacula,NA,NA,Parakeet Auklet,birds
Alectoris graeca,Rock Partridge,Alectoris graeca_Rock Partridge,NA,NA
Alectoris rufa,Red-legged Partridge,Alectoris rufa_Red-legged Partridge,NA,NA
Alectura lathami,Australian Brushturkey,Alectura lathami_Australian Brushturkey,NA,NA
Alethe castanea,Fire-crested Alethe,Alethe castanea_Fire-crested Alethe,NA,NA
Alethe diademata,White-tailed Alethe,Alethe diademata_White-tailed Alethe,NA,NA
Alipiopsitta xanthops,Yellow-faced Parrot,Alipiopsitta xanthops_Yellow-faced Parrot,NA,NA
Alisterus scapularis,Australian King-Parrot,Alisterus scapularis_Australian King-Parrot,NA,NA
Allenia fusca,Scaly-breasted Thrasher,Allenia fusca_Scaly-breasted Thrasher,NA,NA
Allonemobius allardi,Allard's Ground Cricket,Allonemobius allardi_Allard's Ground Cricket,NA,NA
Allonemobius tinnulus,Tinkling Ground Cricket,Allonemobius tinnulus_Tinkling Ground Cricket,NA,NA
Allonemobius walkeri,Walker's Ground Cricket,Allonemobius walkeri_Walker's Ground Cricket,NA,NA
Alophoixus finschii,Finsch's Bulbul,Alophoixus finschii_Finsch's Bulbul,NA,NA
Alophoixus flaveolus,White-throated Bulbul,Alophoixus flaveolus_White-throated Bulbul,NA,NA
Alophoixus ochraceus,Ochraceous Bulbul,Alophoixus ochraceus_Ochraceous Bulbul,NA,NA
Alophoixus pallidus,Puff-throated Bulbul,Alophoixus pallidus_Puff-throated Bulbul,NA,NA
Alophoixus phaeocephalus,Yellow-bellied Bulbul,Alophoixus phaeocephalus_Yellow-bellied Bulbul,NA,NA
Alophoixus tephrogenys,Grey-cheeked Bulbul,Alophoixus tephrogenys_Grey-cheeked Bulbul,NA,NA
Alopochelidon fucata,Tawny-headed Swallow,Alopochelidon fucata_Tawny-headed Swallow,NA,NA
Alopochen aegyptiaca,Egyptian Goose,Alopochen aegyptiaca_Egyptian Goose,NA,NA
Alouatta pigra,Mexican Black Howler Monkey,Alouatta pigra_Mexican Black Howler Monkey,NA,NA
Amalocichla incerta,Lesser Ground-Robin,Amalocichla incerta_Lesser Ground-Robin,NA,NA
Amandava amandava,Red Avadavat,Amandava amandava_Red Avadavat,NA,NA
Amaurolimnas concolor,Uniform Crake,Amaurolimnas concolor_Uniform Crake,NA,NA
Amaurornis isabellina,Isabelline Bush-hen,Amaurornis isabellina_Isabelline Bush-hen,NA,NA
Amaurornis moluccana,Pale-vented Bush-hen,Amaurornis moluccana_Pale-vented Bush-hen,NA,NA
Amaurornis phoenicurus,White-breasted Waterhen,Amaurornis phoenicurus_White-breasted Waterhen,NA,NA
Amaurospiza concolor,Blue Seedeater,Amaurospiza concolor_Blue Seedeater,NA,NA
Amaurospiza moesta,Blackish-blue Seedeater,Amaurospiza moesta_Blackish-blue Seedeater,NA,NA
Amazilia luciae,Honduran Emerald,Amazilia luciae_Honduran Emerald,NA,NA
Amazilia rutila,Cinnamon Hummingbird,Amazilia rutila_Cinnamon Hummingbird,NA,NA
Amazilia tzacatl,Rufous-tailed Hummingbird,Amazilia tzacatl_Rufous-tailed Hummingbird,NA,NA
Amazilia yucatanensis,Buff-bellied Hummingbird,Amazilia yucatanensis_Buff-bellied Hummingbird,NA,NA
Amazilis amazilia,Amazilia Hummingbird,Amazilis amazilia_Amazilia Hummingbird,NA,NA
Amazona aestiva,Turquoise-fronted Parrot,Amazona aestiva_Turquoise-fronted Parrot,NA,NA
Amazona agilis,Black-billed Parrot,Amazona agilis_Black-billed Parrot,NA,NA
Amazona albifrons,White-fronted Parrot,Amazona albifrons_White-fronted Parrot,NA,NA
Amazona amazonica,Orange-winged Parrot,Amazona amazonica_Orange-winged Parrot,NA,NA
Amazona auropalliata,Yellow-naped Parrot,Amazona auropalliata_Yellow-naped Parrot,NA,NA
Amazona autumnalis,Red-lored Parrot,Amazona autumnalis_Red-lored Parrot,NA,NA
Amazona brasiliensis,Red-tailed Parrot,Amazona brasiliensis_Red-tailed Parrot,NA,NA
Amazona dufresniana,Blue-cheeked Parrot,Amazona dufresniana_Blue-cheeked Parrot,NA,NA
Amazona farinosa,Mealy Parrot,Amazona farinosa_Mealy Parrot,NA,NA
Amazona festiva,Festive Parrot,Amazona festiva_Festive Parrot,NA,NA
Amazona finschi,Lilac-crowned Parrot,Amazona finschi_Lilac-crowned Parrot,NA,NA
Amazona kawalli,Kawall's Parrot,Amazona kawalli_Kawall's Parrot,NA,NA
Amazona leucocephala,Cuban Parrot,Amazona leucocephala_Cuban Parrot,NA,NA
Amazona mercenarius,Scaly-naped Parrot,Amazona mercenarius_Scaly-naped Parrot,NA,NA
Amazona ochrocephala,Yellow-crowned Parrot,Amazona ochrocephala_Yellow-crowned Parrot,NA,NA
Amazona oratrix,Yellow-headed Parrot,Amazona oratrix_Yellow-headed Parrot,NA,NA
Amazona rhodocorytha,Red-browed Parrot,Amazona rhodocorytha_Red-browed Parrot,NA,NA
Amazona tucumana,Tucuman Parrot,Amazona tucumana_Tucuman Parrot,NA,NA
Amazona ventralis,Hispaniolan Parrot,Amazona ventralis_Hispaniolan Parrot,NA,NA
Amazona vinacea,Vinaceous-breasted Parrot,Amazona vinacea_Vinaceous-breasted Parrot,NA,NA
Amazona viridigenalis,Red-crowned Parrot,Amazona viridigenalis_Red-crowned Parrot,NA,NA
Amazona xantholora,Yellow-lored Parrot,Amazona xantholora_Yellow-lored Parrot,NA,NA
Amazonetta brasiliensis,Brazilian Teal,Amazonetta brasiliensis_Brazilian Teal,NA,NA
Amblycercus holosericeus,Yellow-billed Cacique,Amblycercus holosericeus_Yellow-billed Cacique,NA,NA
Amblycorypha alexanderi,Clicker Round-winged Katydid,Amblycorypha alexanderi_Clicker Round-winged Katydid,NA,NA
Amblycorypha longinicta,Common Virtuoso Katydid,Amblycorypha longinicta_Common Virtuoso Katydid,NA,NA
Amblycorypha oblongifolia,Oblong-winged Katydid,Amblycorypha oblongifolia_Oblong-winged Katydid,NA,NA
Amblycorypha rotundifolia,Rattler Round-winged Katydid,Amblycorypha rotundifolia_Rattler Round-winged Katydid,NA,NA
Amblyornis newtoniana,Golden Bowerbird,Amblyornis newtoniana_Golden Bowerbird,NA,NA
Amblyospiza albifrons,Grosbeak Weaver,Amblyospiza albifrons_Grosbeak Weaver,NA,NA
Amblyramphus holosericeus,Scarlet-headed Blackbird,Amblyramphus holosericeus_Scarlet-headed Blackbird,NA,NA
Ammodramus aurifrons,Yellow-browed Sparrow,Ammodramus aurifrons_Yellow-browed Sparrow,NA,NA
Ammodramus humeralis,Grassland Sparrow,Ammodramus humeralis_Grassland Sparrow,NA,NA
Aethia pusilla,Least Auklet,Aethia pusilla_Least Auklet,Least Auklet,birds
Ammomanes cinctura,Bar-tailed Lark,Ammomanes cinctura_Bar-tailed Lark,NA,NA
Ammomanes deserti,Desert Lark,Ammomanes deserti_Desert Lark,NA,NA
Ammomanes phoenicura,Rufous-tailed Lark,Ammomanes phoenicura_Rufous-tailed Lark,NA,NA
Ammonastes pelzelni,Grey-bellied Antbird,Ammonastes pelzelni_Grey-bellied Antbird,NA,NA
Ammospiza caudacuta,Saltmarsh Sparrow,Ammospiza caudacuta_Saltmarsh Sparrow,NA,NA
Aethia pygmaea,Whiskered Auklet,Aethia pygmaea_Whiskered Auklet,Whiskered Auklet,birds
Ammospiza maritima,Seaside Sparrow,Ammospiza maritima_Seaside Sparrow,NA,NA
Agelaius phoeniceus,Red-winged Blackbird,Agelaius phoeniceus_Red-winged Blackbird,Red-winged Blackbird,birds
Ampelioides tschudii,Scaled Fruiteater,Ampelioides tschudii_Scaled Fruiteater,NA,NA
Ampelion rubrocristatus,Red-crested Cotinga,Ampelion rubrocristatus_Red-crested Cotinga,NA,NA
Ampelion rufaxilla,Chestnut-crested Cotinga,Ampelion rufaxilla_Chestnut-crested Cotinga,NA,NA
Ampelornis griseiceps,Grey-headed Antbird,Ampelornis griseiceps_Grey-headed Antbird,NA,NA
Aix sponsa,Wood Duck,Aix sponsa_Wood Duck,Wood Duck,birds
Amphispizopsis quinquestriata,Five-striped Sparrow,Amphispizopsis quinquestriata_Five-striped Sparrow,NA,NA
Anabacerthia amaurotis,White-browed Foliage-gleaner,Anabacerthia amaurotis_White-browed Foliage-gleaner,NA,NA
Anabacerthia lichtensteini,Ochre-breasted Foliage-gleaner,Anabacerthia lichtensteini_Ochre-breasted Foliage-gleaner,NA,NA
Anabacerthia ruficaudata,Rufous-tailed Foliage-gleaner,Anabacerthia ruficaudata_Rufous-tailed Foliage-gleaner,NA,NA
Anabacerthia striaticollis,Montane Foliage-gleaner,Anabacerthia striaticollis_Montane Foliage-gleaner,NA,NA
Anabacerthia variegaticeps,Scaly-throated Foliage-gleaner,Anabacerthia variegaticeps_Scaly-throated Foliage-gleaner,NA,NA
Anabazenops dorsalis,Dusky-cheeked Foliage-gleaner,Anabazenops dorsalis_Dusky-cheeked Foliage-gleaner,NA,NA
Anabazenops fuscus,White-collared Foliage-gleaner,Anabazenops fuscus_White-collared Foliage-gleaner,NA,NA
Anairetes alpinus,Ash-breasted Tit-Tyrant,Anairetes alpinus_Ash-breasted Tit-Tyrant,NA,NA
Anairetes flavirostris,Yellow-billed Tit-Tyrant,Anairetes flavirostris_Yellow-billed Tit-Tyrant,NA,NA
Anairetes nigrocristatus,Black-crested Tit-Tyrant,Anairetes nigrocristatus_Black-crested Tit-Tyrant,NA,NA
Anairetes parulus,Tufted Tit-Tyrant,Anairetes parulus_Tufted Tit-Tyrant,NA,NA
Anairetes reguloides,Pied-crested Tit-Tyrant,Anairetes reguloides_Pied-crested Tit-Tyrant,NA,NA
Alauda arvensis,Eurasian Skylark,Alauda arvensis_Eurasian Skylark,Eurasian Skylark,birds
Anas andium,Andean Teal,Anas andium_Andean Teal,NA,NA
Anas castanea,Chestnut Teal,Anas castanea_Chestnut Teal,NA,NA
Alces alces,NA,NA,Moose,mammals
Anas diazi,Mexican Duck,Anas diazi_Mexican Duck,NA,NA
Anas flavirostris,Yellow-billed Teal,Anas flavirostris_Yellow-billed Teal,NA,NA
Anas fulvigula,Mottled Duck,Anas fulvigula_Mottled Duck,NA,NA
Anas georgica,Yellow-billed Pintail,Anas georgica_Yellow-billed Pintail,NA,NA
Anas gracilis,Grey Teal,Anas gracilis_Grey Teal,NA,NA
Alectoris chukar,Chukar,Alectoris chukar_Chukar,Chukar,birds
Anas poecilorhyncha,Indian Spot-billed Duck,Anas poecilorhyncha_Indian Spot-billed Duck,NA,NA
Alle alle,NA,NA,Dovekie,birds
Anas superciliosa,Pacific Black Duck,Anas superciliosa_Pacific Black Duck,NA,NA
Anas undulata,Yellow-billed Duck,Anas undulata_Yellow-billed Duck,NA,NA
Anas wyvilliana,Hawaiian Duck,Anas wyvilliana_Hawaiian Duck,NA,NA
Anas zonorhyncha,Eastern Spot-billed Duck,Anas zonorhyncha_Eastern Spot-billed Duck,NA,NA
Anastomus oscitans,Asian Openbill,Anastomus oscitans_Asian Openbill,NA,NA
Anaxipha exigua,Say's Trig,Anaxipha exigua_Say's Trig,NA,NA
Anaxyrus americanus,American Toad,Anaxyrus americanus_American Toad,NA,NA
Anaxyrus canorus,Yosemite Toad,Anaxyrus canorus_Yosemite Toad,NA,NA
Anaxyrus cognatus,Great Plains Toad,Anaxyrus cognatus_Great Plains Toad,NA,NA
Anaxyrus fowleri,Fowler's Toad,Anaxyrus fowleri_Fowler's Toad,NA,NA
