Scientific Name,English Name (BirdNET),BirdNET,English Name (in BC),Class (if in BC list)
Rhopospina caerulescens,Blue Finch,Rhopospina caerulescens_Blue Finch,NA,NA
Rhopospina fruticeti,Mourning Sierra Finch,Rhopospina fruticeti_Mourning Sierra Finch,NA,NA
Rhynchocyclus brevirostris,Eye-ringed Flatbill,Rhynchocyclus brevirostris_Eye-ringed Flatbill,NA,NA
Rhynchocyclus olivaceus,Eastern Olivaceous Flatbill,Rhynchocyclus olivaceus_Eastern Olivaceous Flatbill,NA,NA
Melanitta americana,Black Scoter,Melanitta americana_Black Scoter,Black Scoter,birds
Rhynchopsitta pachyrhyncha,Thick-billed Parrot,Rhynchopsitta pachyrhyncha_Thick-billed Parrot,NA,NA
Rhynchopsitta terrisi,Maroon-fronted Parrot,Rhynchopsitta terrisi_Maroon-fronted Parrot,NA,NA
Rhynchortyx cinctus,Tawny-faced Quail,Rhynchortyx cinctus_Tawny-faced Quail,NA,NA
Rhynchospiza stolzmanni,Tumbes Sparrow,Rhynchospiza stolzmanni_Tumbes Sparrow,NA,NA
Rhynchospiza strigiceps,Chaco Sparrow,Rhynchospiza strigiceps_Chaco Sparrow,NA,NA
Rhynchotus rufescens,Red-winged Tinamou,Rhynchotus rufescens_Red-winged Tinamou,NA,NA
Rhynochetos jubatus,Kagu,Rhynochetos jubatus_Kagu,NA,NA
Rhyticeros cassidix,Knobbed Hornbill,Rhyticeros cassidix_Knobbed Hornbill,NA,NA
Rhyticeros plicatus,Blyth's Hornbill,Rhyticeros plicatus_Blyth's Hornbill,NA,NA
Rhyticeros undulatus,Wreathed Hornbill,Rhyticeros undulatus_Wreathed Hornbill,NA,NA
Rhytipterna holerythra,Rufous Mourner,Rhytipterna holerythra_Rufous Mourner,NA,NA
Rhytipterna immunda,Pale-bellied Mourner,Rhytipterna immunda_Pale-bellied Mourner,NA,NA
Rhytipterna simplex,Greyish Mourner,Rhytipterna simplex_Greyish Mourner,NA,NA
Riparia chinensis,Grey-throated Martin,Riparia chinensis_Grey-throated Martin,NA,NA
Riparia diluta,Pale Martin,Riparia diluta_Pale Martin,NA,NA
Riparia paludicola,Plain Martin,Riparia paludicola_Plain Martin,NA,NA
Melanitta deglandi,NA,NA,White-winged Scoter,birds
Melanitta perspicillata,Surf Scoter,Melanitta perspicillata_Surf Scoter,Surf Scoter,birds
Rollulus rouloul,Crested Partridge,Rollulus rouloul_Crested Partridge,NA,NA
Roraimia adusta,Roraiman Barbtail,Roraimia adusta_Roraiman Barbtail,NA,NA
Rostratula benghalensis,Greater Painted-Snipe,Rostratula benghalensis_Greater Painted-Snipe,NA,NA
Rostrhamus sociabilis,Snail Kite,Rostrhamus sociabilis_Snail Kite,NA,NA
Rubigula erythropthalmos,Spectacled Bulbul,Rubigula erythropthalmos_Spectacled Bulbul,NA,NA
Rubigula flaviventris,Black-crested Bulbul,Rubigula flaviventris_Black-crested Bulbul,NA,NA
Rubigula gularis,Flame-throated Bulbul,Rubigula gularis_Flame-throated Bulbul,NA,NA
Rupicola peruvianus,Andean Cock-of-the-rock,Rupicola peruvianus_Andean Cock-of-the-rock,NA,NA
Rupicola rupicola,Guianan Cock-of-the-rock,Rupicola rupicola_Guianan Cock-of-the-rock,NA,NA
Rupornis magnirostris,Roadside Hawk,Rupornis magnirostris_Roadside Hawk,NA,NA
Rynchops niger,Black Skimmer,Rynchops niger_Black Skimmer,NA,NA
Sakesphorus canadensis,Black-crested Antshrike,Sakesphorus canadensis_Black-crested Antshrike,NA,NA
Sakesphorus cristatus,Silvery-cheeked Antshrike,Sakesphorus cristatus_Silvery-cheeked Antshrike,NA,NA
Sakesphorus luctuosus,Glossy Antshrike,Sakesphorus luctuosus_Glossy Antshrike,NA,NA
Meleagris gallopavo,Wild Turkey,Meleagris gallopavo_Wild Turkey,Wild Turkey,birds
Salpornis salvadori,African Spotted Creeper,Salpornis salvadori_African Spotted Creeper,NA,NA
Saltator albicollis,Lesser Antillean Saltator,Saltator albicollis_Lesser Antillean Saltator,NA,NA
Saltator atriceps,Black-headed Saltator,Saltator atriceps_Black-headed Saltator,NA,NA
Saltator atripennis,Black-winged Saltator,Saltator atripennis_Black-winged Saltator,NA,NA
Saltator aurantiirostris,Golden-billed Saltator,Saltator aurantiirostris_Golden-billed Saltator,NA,NA
Saltator cinctus,Masked Saltator,Saltator cinctus_Masked Saltator,NA,NA
Saltator coerulescens,Bluish-grey Saltator,Saltator coerulescens_Bluish-grey Saltator,NA,NA
Saltator fuliginosus,Black-throated Grosbeak,Saltator fuliginosus_Black-throated Grosbeak,NA,NA
Saltator grandis,Cinnamon-bellied Saltator,Saltator grandis_Cinnamon-bellied Saltator,NA,NA
Saltator grossus,Slate-coloured Grosbeak,Saltator grossus_Slate-coloured Grosbeak,NA,NA
Saltator maxillosus,Thick-billed Saltator,Saltator maxillosus_Thick-billed Saltator,NA,NA
Saltator maximus,Buff-throated Saltator,Saltator maximus_Buff-throated Saltator,NA,NA
Saltator nigriceps,Black-cowled Saltator,Saltator nigriceps_Black-cowled Saltator,NA,NA
Saltator olivascens,Olive-grey Saltator,Saltator olivascens_Olive-grey Saltator,NA,NA
Saltator orenocensis,Orinocan Saltator,Saltator orenocensis_Orinocan Saltator,NA,NA
Saltator similis,Green-winged Saltator,Saltator similis_Green-winged Saltator,NA,NA
Saltator striatipectus,Streaked Saltator,Saltator striatipectus_Streaked Saltator,NA,NA
Saltatricula atricollis,Black-throated Saltator,Saltatricula atricollis_Black-throated Saltator,NA,NA
Saltatricula multicolor,Many-coloured Chaco Finch,Saltatricula multicolor_Many-coloured Chaco Finch,NA,NA
Sapayoa aenigma,Sapayoa,Sapayoa aenigma_Sapayoa,NA,NA
Sappho sparganurus,Red-tailed Comet,Sappho sparganurus_Red-tailed Comet,NA,NA
Sarcops calvus,Coleto,Sarcops calvus_Coleto,NA,NA
Sarothrura elegans,Buff-spotted Flufftail,Sarothrura elegans_Buff-spotted Flufftail,NA,NA
Sarothrura insularis,Madagascar Flufftail,Sarothrura insularis_Madagascar Flufftail,NA,NA
Sarothrura pulchra,White-spotted Flufftail,Sarothrura pulchra_White-spotted Flufftail,NA,NA
Sarothrura rufa,Red-chested Flufftail,Sarothrura rufa_Red-chested Flufftail,NA,NA
Sasia abnormis,Rufous Piculet,Sasia abnormis_Rufous Piculet,NA,NA
Sasia ochracea,White-browed Piculet,Sasia ochracea_White-browed Piculet,NA,NA
Saucerottia beryllina,Berylline Hummingbird,Saucerottia beryllina_Berylline Hummingbird,NA,NA
Saucerottia cyanocephala,Azure-crowned Hummingbird,Saucerottia cyanocephala_Azure-crowned Hummingbird,NA,NA
Saucerottia tobaci,Copper-rumped Hummingbird,Saucerottia tobaci_Copper-rumped Hummingbird,NA,NA
Saundersilarus saundersi,Saunders's Gull,Saundersilarus saundersi_Saunders's Gull,NA,NA
Saxicola caprata,Pied Bushchat,Saxicola caprata_Pied Bushchat,NA,NA
Saxicola ferreus,Grey Bushchat,Saxicola ferreus_Grey Bushchat,NA,NA
Saxicola maurus,Siberian Stonechat,Saxicola maurus_Siberian Stonechat,NA,NA
Saxicola rubetra,Whinchat,Saxicola rubetra_Whinchat,NA,NA
Saxicola rubicola,European Stonechat,Saxicola rubicola_European Stonechat,NA,NA
Saxicola stejnegeri,Amur Stonechat,Saxicola stejnegeri_Amur Stonechat,NA,NA
Saxicola torquatus,African Stonechat,Saxicola torquatus_African Stonechat,NA,NA
Melospiza georgiana,Swamp Sparrow,Melospiza georgiana_Swamp Sparrow,Swamp Sparrow,birds
Melospiza lincolnii,Lincoln's Sparrow,Melospiza lincolnii_Lincoln's Sparrow,Lincoln's Sparrow,birds
Melospiza melodia,Song Sparrow,Melospiza melodia_Song Sparrow,Song Sparrow,birds
Scaphiopus couchii,Couch's Spadefoot,Scaphiopus couchii_Couch's Spadefoot,NA,NA
Scelorchilus albicollis,White-throated Tapaculo,Scelorchilus albicollis_White-throated Tapaculo,NA,NA
Scelorchilus rubecula,Chucao Tapaculo,Scelorchilus rubecula_Chucao Tapaculo,NA,NA
Scenopoeetes dentirostris,Tooth-billed Bowerbird,Scenopoeetes dentirostris_Tooth-billed Bowerbird,NA,NA
Schetba rufa,Rufous Vanga,Schetba rufa_Rufous Vanga,NA,NA
Schiffornis aenea,Foothill Schiffornis,Schiffornis aenea_Foothill Schiffornis,NA,NA
Schiffornis major,Varzea Schiffornis,Schiffornis major_Varzea Schiffornis,NA,NA
Schiffornis olivacea,Olivaceous Schiffornis,Schiffornis olivacea_Olivaceous Schiffornis,NA,NA
Schiffornis stenorhyncha,Russet-winged Schiffornis,Schiffornis stenorhyncha_Russet-winged Schiffornis,NA,NA
Schiffornis turdina,Brown-winged Schiffornis,Schiffornis turdina_Brown-winged Schiffornis,NA,NA
Schiffornis veraepacis,Northern Schiffornis,Schiffornis veraepacis_Northern Schiffornis,NA,NA
Schiffornis virescens,Greenish Schiffornis,Schiffornis virescens_Greenish Schiffornis,NA,NA
Schistes geoffroyi,Geoffroy's Daggerbill,Schistes geoffroyi_Geoffroy's Daggerbill,NA,NA
Schistochlamys melanopis,Black-faced Tanager,Schistochlamys melanopis_Black-faced Tanager,NA,NA
Schistochlamys ruficapillus,Cinnamon Tanager,Schistochlamys ruficapillus_Cinnamon Tanager,NA,NA
Schoenicola platyurus,Broad-tailed Grassbird,Schoenicola platyurus_Broad-tailed Grassbird,NA,NA
Schoenicola striatus,Bristled Grassbird,Schoenicola striatus_Bristled Grassbird,NA,NA
Schoeniophylax phryganophilus,Chotoy Spinetail,Schoeniophylax phryganophilus_Chotoy Spinetail,NA,NA
Schoeniparus brunneus,Dusky Fulvetta,Schoeniparus brunneus_Dusky Fulvetta,NA,NA
Schoeniparus castaneceps,Rufous-winged Fulvetta,Schoeniparus castaneceps_Rufous-winged Fulvetta,NA,NA
Schoeniparus cinereus,Yellow-throated Fulvetta,Schoeniparus cinereus_Yellow-throated Fulvetta,NA,NA
Schoeniparus dubius,Rusty-capped Fulvetta,Schoeniparus dubius_Rusty-capped Fulvetta,NA,NA
Schoeniparus rufogularis,Rufous-throated Fulvetta,Schoeniparus rufogularis_Rufous-throated Fulvetta,NA,NA
Sciaphylax castanea,Zimmer's Antbird,Sciaphylax castanea_Zimmer's Antbird,NA,NA
Sciaphylax hemimelaena,Chestnut-tailed Antbird,Sciaphylax hemimelaena_Chestnut-tailed Antbird,NA,NA
Mephitis mephitis,NA,NA,Striped Skunk,mammals
Sclateria naevia,Silvered Antbird,Sclateria naevia_Silvered Antbird,NA,NA
Scleroptila afra,Grey-winged Francolin,Scleroptila afra_Grey-winged Francolin,NA,NA
Scleroptila gutturalis,Orange River Francolin,Scleroptila gutturalis_Orange River Francolin,NA,NA
Scleroptila levaillantii,Red-winged Francolin,Scleroptila levaillantii_Red-winged Francolin,NA,NA
Scleroptila shelleyi,Shelley's Francolin,Scleroptila shelleyi_Shelley's Francolin,NA,NA
Sclerurus albigularis,Grey-throated Leaftosser,Sclerurus albigularis_Grey-throated Leaftosser,NA,NA
Sclerurus caudacutus,Black-tailed Leaftosser,Sclerurus caudacutus_Black-tailed Leaftosser,NA,NA
Sclerurus guatemalensis,Scaly-throated Leaftosser,Sclerurus guatemalensis_Scaly-throated Leaftosser,NA,NA
Sclerurus mexicanus,Middle American Leaftosser,Sclerurus mexicanus_Middle American Leaftosser,NA,NA
Sclerurus obscurior,South American Leaftosser,Sclerurus obscurior_South American Leaftosser,NA,NA
Sclerurus rufigularis,Short-billed Leaftosser,Sclerurus rufigularis_Short-billed Leaftosser,NA,NA
Sclerurus scansor,Rufous-breasted Leaftosser,Sclerurus scansor_Rufous-breasted Leaftosser,NA,NA
Scolopax bukidnonensis,Bukidnon Woodcock,Scolopax bukidnonensis_Bukidnon Woodcock,NA,NA
Scolopax minor,American Woodcock,Scolopax minor_American Woodcock,NA,NA
Scolopax rusticola,Eurasian Woodcock,Scolopax rusticola_Eurasian Woodcock,NA,NA
Scopus umbretta,Hamerkop,Scopus umbretta_Hamerkop,NA,NA
Scotocerca inquieta,Scrub Warbler,Scotocerca inquieta_Scrub Warbler,NA,NA
Scudderia curvicauda,Curve-tailed Bush Katydid,Scudderia curvicauda_Curve-tailed Bush Katydid,NA,NA
Scudderia furcata,Fork-tailed Bush Katydid,Scudderia furcata_Fork-tailed Bush Katydid,NA,NA
Scudderia texensis,Texas Bush Katydid,Scudderia texensis_Texas Bush Katydid,NA,NA
Scytalopus acutirostris,Tschudi's Tapaculo,Scytalopus acutirostris_Tschudi's Tapaculo,NA,NA
Scytalopus affinis,Ancash Tapaculo,Scytalopus affinis_Ancash Tapaculo,NA,NA
Scytalopus altirostris,Neblina Tapaculo,Scytalopus altirostris_Neblina Tapaculo,NA,NA
Scytalopus alvarezlopezi,Tatama Tapaculo,Scytalopus alvarezlopezi_Tatama Tapaculo,NA,NA
Scytalopus androstictus,Loja Tapaculo,Scytalopus androstictus_Loja Tapaculo,NA,NA
Scytalopus argentifrons,Silvery-fronted Tapaculo,Scytalopus argentifrons_Silvery-fronted Tapaculo,NA,NA
Scytalopus atratus,White-crowned Tapaculo,Scytalopus atratus_White-crowned Tapaculo,NA,NA
Scytalopus bolivianus,Bolivian Tapaculo,Scytalopus bolivianus_Bolivian Tapaculo,NA,NA
Scytalopus canus,Paramillo Tapaculo,Scytalopus canus_Paramillo Tapaculo,NA,NA
Scytalopus caracae,Caracas Tapaculo,Scytalopus caracae_Caracas Tapaculo,NA,NA
Scytalopus chocoensis,Choco Tapaculo,Scytalopus chocoensis_Choco Tapaculo,NA,NA
Scytalopus diamantinensis,Diamantina Tapaculo,Scytalopus diamantinensis_Diamantina Tapaculo,NA,NA
Scytalopus femoralis,Rufous-vented Tapaculo,Scytalopus femoralis_Rufous-vented Tapaculo,NA,NA
Scytalopus frankeae,Jalca Tapaculo,Scytalopus frankeae_Jalca Tapaculo,NA,NA
Scytalopus fuscus,Dusky Tapaculo,Scytalopus fuscus_Dusky Tapaculo,NA,NA
Scytalopus griseicollis,Pale-bellied Tapaculo,Scytalopus griseicollis_Pale-bellied Tapaculo,NA,NA
Scytalopus intermedius,Utcubamba Tapaculo,Scytalopus intermedius_Utcubamba Tapaculo,NA,NA
Scytalopus iraiensis,Marsh Tapaculo,Scytalopus iraiensis_Marsh Tapaculo,NA,NA
Scytalopus latebricola,Brown-rumped Tapaculo,Scytalopus latebricola_Brown-rumped Tapaculo,NA,NA
Scytalopus latrans,Blackish Tapaculo,Scytalopus latrans_Blackish Tapaculo,NA,NA
Scytalopus macropus,Large-footed Tapaculo,Scytalopus macropus_Large-footed Tapaculo,NA,NA
Scytalopus magellanicus,Magellanic Tapaculo,Scytalopus magellanicus_Magellanic Tapaculo,NA,NA
Scytalopus meridanus,Merida Tapaculo,Scytalopus meridanus_Merida Tapaculo,NA,NA
Scytalopus micropterus,Long-tailed Tapaculo,Scytalopus micropterus_Long-tailed Tapaculo,NA,NA
Scytalopus novacapitalis,Brasilia Tapaculo,Scytalopus novacapitalis_Brasilia Tapaculo,NA,NA
Scytalopus opacus,Paramo Tapaculo,Scytalopus opacus_Paramo Tapaculo,NA,NA
Scytalopus pachecoi,Planalto Tapaculo,Scytalopus pachecoi_Planalto Tapaculo,NA,NA
Scytalopus parkeri,Chusquea Tapaculo,Scytalopus parkeri_Chusquea Tapaculo,NA,NA
Scytalopus parvirostris,Trilling Tapaculo,Scytalopus parvirostris_Trilling Tapaculo,NA,NA
Scytalopus perijanus,Perija Tapaculo,Scytalopus perijanus_Perija Tapaculo,NA,NA
Scytalopus petrophilus,Rock Tapaculo,Scytalopus petrophilus_Rock Tapaculo,NA,NA
Scytalopus robbinsi,Ecuadorian Tapaculo,Scytalopus robbinsi_Ecuadorian Tapaculo,NA,NA
Scytalopus rodriguezi,Magdalena Tapaculo,Scytalopus rodriguezi_Magdalena Tapaculo,NA,NA
Scytalopus sanctaemartae,Santa Marta Tapaculo,Scytalopus sanctaemartae_Santa Marta Tapaculo,NA,NA
Scytalopus schulenbergi,Diademed Tapaculo,Scytalopus schulenbergi_Diademed Tapaculo,NA,NA
Scytalopus simonsi,Puna Tapaculo,Scytalopus simonsi_Puna Tapaculo,NA,NA
Scytalopus speluncae,Mouse-coloured Tapaculo,Scytalopus speluncae_Mouse-coloured Tapaculo,NA,NA
Scytalopus spillmanni,Spillmann's Tapaculo,Scytalopus spillmanni_Spillmann's Tapaculo,NA,NA
Scytalopus stilesi,Stiles's Tapaculo,Scytalopus stilesi_Stiles's Tapaculo,NA,NA
Scytalopus superciliaris,White-browed Tapaculo,Scytalopus superciliaris_White-browed Tapaculo,NA,NA
Scytalopus unicolor,Unicoloured Tapaculo,Scytalopus unicolor_Unicoloured Tapaculo,NA,NA
Scytalopus urubambae,Vilcabamba Tapaculo,Scytalopus urubambae_Vilcabamba Tapaculo,NA,NA
Scytalopus vicinior,Nariño Tapaculo,Scytalopus vicinior_Nariño Tapaculo,NA,NA
Scytalopus zimmeri,Zimmer's Tapaculo,Scytalopus zimmeri_Zimmer's Tapaculo,NA,NA
Scythrops novaehollandiae,Channel-billed Cuckoo,Scythrops novaehollandiae_Channel-billed Cuckoo,NA,NA
Mergellus albellus,Smew,Mergellus albellus_Smew,Smew,birds
Mergus merganser,Goosander,Mergus merganser_Goosander,Common Merganser,birds
Selasphorus ellioti,Wine-throated Hummingbird,Selasphorus ellioti_Wine-throated Hummingbird,NA,NA
Selasphorus heloisa,Bumblebee Hummingbird,Selasphorus heloisa_Bumblebee Hummingbird,NA,NA
Mergus serrator,Red-breasted Merganser,Mergus serrator_Red-breasted Merganser,Red-breasted Merganser,birds
Mesoplodon carlhubbsi,NA,NA,Hubbs' Beaked Whale,mammals
Selasphorus sasin,Allen's Hummingbird,Selasphorus sasin_Allen's Hummingbird,NA,NA
Selenidera gouldii,Gould's Toucanet,Selenidera gouldii_Gould's Toucanet,NA,NA
Selenidera maculirostris,Spot-billed Toucanet,Selenidera maculirostris_Spot-billed Toucanet,NA,NA
Selenidera piperivora,Guianan Toucanet,Selenidera piperivora_Guianan Toucanet,NA,NA
Selenidera reinwardtii,Golden-collared Toucanet,Selenidera reinwardtii_Golden-collared Toucanet,NA,NA
Selenidera spectabilis,Yellow-eared Toucanet,Selenidera spectabilis_Yellow-eared Toucanet,NA,NA
Seleucidis melanoleucus,Twelve-wired Bird-of-Paradise,Seleucidis melanoleucus_Twelve-wired Bird-of-Paradise,NA,NA
Semioptera wallacii,Standardwing Bird-of-Paradise,Semioptera wallacii_Standardwing Bird-of-Paradise,NA,NA
Semnornis frantzii,Prong-billed Barbet,Semnornis frantzii_Prong-billed Barbet,NA,NA
Semnornis ramphastinus,Toucan Barbet,Semnornis ramphastinus_Toucan Barbet,NA,NA
Sephanoides sephaniodes,Green-backed Firecrown,Sephanoides sephaniodes_Green-backed Firecrown,NA,NA
Sericornis citreogularis,Yellow-throated Scrubwren,Sericornis citreogularis_Yellow-throated Scrubwren,NA,NA
Sericornis frontalis,White-browed Scrubwren,Sericornis frontalis_White-browed Scrubwren,NA,NA
Sericornis humilis,Tasmanian Scrubwren,Sericornis humilis_Tasmanian Scrubwren,NA,NA
Sericornis magnirostra,Large-billed Scrubwren,Sericornis magnirostra_Large-billed Scrubwren,NA,NA
Sericornis papuensis,Papuan Scrubwren,Sericornis papuensis_Papuan Scrubwren,NA,NA
Sericossypha albocristata,White-capped Tanager,Sericossypha albocristata_White-capped Tanager,NA,NA
Serilophus lunatus,Silver-breasted Broadbill,Serilophus lunatus_Silver-breasted Broadbill,NA,NA
Serinus alario,Black-headed Canary,Serinus alario_Black-headed Canary,NA,NA
Serinus canaria,Atlantic Canary,Serinus canaria_Atlantic Canary,NA,NA
Serinus canicollis,Cape Canary,Serinus canicollis_Cape Canary,NA,NA
Serinus flavivertex,Yellow-crowned Canary,Serinus flavivertex_Yellow-crowned Canary,NA,NA
Serinus pusillus,Red-fronted Serin,Serinus pusillus_Red-fronted Serin,NA,NA
Serinus serinus,European Serin,Serinus serinus_European Serin,NA,NA
Serpophaga cinerea,Torrent Tyrannulet,Serpophaga cinerea_Torrent Tyrannulet,NA,NA
Serpophaga griseicapilla,Straneck's Tyrannulet,Serpophaga griseicapilla_Straneck's Tyrannulet,NA,NA
Serpophaga hypoleuca,River Tyrannulet,Serpophaga hypoleuca_River Tyrannulet,NA,NA
Serpophaga munda,White-bellied Tyrannulet,Serpophaga munda_White-bellied Tyrannulet,NA,NA
Serpophaga nigricans,Sooty Tyrannulet,Serpophaga nigricans_Sooty Tyrannulet,NA,NA
Serpophaga subcristata,White-crested Tyrannulet,Serpophaga subcristata_White-crested Tyrannulet,NA,NA
Setopagis parvula,Little Nightjar,Setopagis parvula_Little Nightjar,NA,NA
Setophaga adelaidae,Adelaide's Warbler,Setophaga adelaidae_Adelaide's Warbler,NA,NA
Mesoplodon stejnegeri,NA,NA,Stejneger's Beaked Whale,mammals
Microtus longicaudus,NA,NA,Long-tailed Vole,mammals
Microtus montanus,NA,NA,Montane Vole,mammals
Setophaga cerulea,Cerulean Warbler,Setophaga cerulea_Cerulean Warbler,NA,NA
Setophaga chrysoparia,Golden-cheeked Warbler,Setophaga chrysoparia_Golden-cheeked Warbler,NA,NA
Microtus oeconomus,NA,NA,Root Vole,mammals
Microtus oregoni,NA,NA,Creeping Vole,mammals
Microtus pennsylvanicus,NA,NA,Meadow Vole,mammals
Microtus richardsoni,NA,NA,North American Water Vole,mammals
Microtus townsendii,NA,NA,Townsend's Vole,mammals
Setophaga graciae,Grace's Warbler,Setophaga graciae_Grace's Warbler,NA,NA
Setophaga kirtlandii,Kirtland's Warbler,Setophaga kirtlandii_Kirtland's Warbler,NA,NA
Microtus townsendii cowani,NA,NA,"Townsend's Vole, cowani subspecies",mammals
Mimus polyglottos,Northern Mockingbird,Mimus polyglottos_Northern Mockingbird,Northern Mockingbird,birds
Mirounga angustirostris,NA,NA,Northern Elephant Seal,mammals
Mniotilta varia,Black-and-white Warbler,Mniotilta varia_Black-and-white Warbler,Black-and-white Warbler,birds
Molothrus ater,Brown-headed Cowbird,Molothrus ater_Brown-headed Cowbird,Brown-headed Cowbird,birds
Monticola solitarius,Blue Rock Thrush,Monticola solitarius_Blue Rock Thrush,Blue Rock-Thrush,birds
Motacilla alba,Pied Wagtail/White Wagtail,Motacilla alba_Pied Wagtail/White Wagtail,White Wagtail,birds
Setophaga pitiayumi,Tropical Parula,Setophaga pitiayumi_Tropical Parula,NA,NA
Setophaga pityophila,Olive-capped Warbler,Setophaga pityophila_Olive-capped Warbler,NA,NA
Motacilla cinerea,Grey Wagtail,Motacilla cinerea_Grey Wagtail,Gray Wagtail,birds
Motacilla citreola,Citrine Wagtail,Motacilla citreola_Citrine Wagtail,Citrine Wagtail,birds
Motacilla tschutschensis,Eastern Yellow Wagtail,Motacilla tschutschensis_Eastern Yellow Wagtail,Eastern Yellow Wagtail,birds
Mus musculus,NA,NA,House Mouse,mammals
Mustela haidarum,NA,NA,Haida Ermine,mammals
Sheppardia gunningi,East Coast Akalat,Sheppardia gunningi_East Coast Akalat,NA,NA
Sheppardia sharpei,Sharpe's Akalat,Sheppardia sharpei_Sharpe's Akalat,NA,NA
Sholicola albiventris,White-bellied Sholakili,Sholicola albiventris_White-bellied Sholakili,NA,NA
Sholicola major,Nilgiri Sholakili,Sholicola major_Nilgiri Sholakili,NA,NA
Mustela nivalis,NA,NA,Least Weasel,mammals
Mustela richardsonii,NA,NA,Ermine,mammals
Mustela richardsonii anguinae,NA,NA,"Ermine, anguinae subspecies",mammals
Sicalis auriventris,Greater Yellow-Finch,Sicalis auriventris_Greater Yellow-Finch,NA,NA
Sicalis citrina,Stripe-tailed Yellow-Finch,Sicalis citrina_Stripe-tailed Yellow-Finch,NA,NA
Sicalis flaveola,Saffron Finch,Sicalis flaveola_Saffron Finch,NA,NA
Sicalis lebruni,Patagonian Yellow-Finch,Sicalis lebruni_Patagonian Yellow-Finch,NA,NA
Sicalis luteocephala,Citron-headed Yellow-Finch,Sicalis luteocephala_Citron-headed Yellow-Finch,NA,NA
Sicalis luteola,Grassland Yellow-Finch,Sicalis luteola_Grassland Yellow-Finch,NA,NA
Sicalis olivascens,Greenish Yellow-Finch,Sicalis olivascens_Greenish Yellow-Finch,NA,NA
Sicalis uropygialis,Bright-rumped Yellow-Finch,Sicalis uropygialis_Bright-rumped Yellow-Finch,NA,NA
Sinosuthora webbiana,Vinous-throated Parrotbill,Sinosuthora webbiana_Vinous-throated Parrotbill,NA,NA
Siphonorhis brewsteri,Least Pauraque,Siphonorhis brewsteri_Least Pauraque,NA,NA
Sipia berlepschi,Stub-tailed Antbird,Sipia berlepschi_Stub-tailed Antbird,NA,NA
Sipia laemosticta,Dull-mantled Antbird,Sipia laemosticta_Dull-mantled Antbird,NA,NA
Sipia nigricauda,Esmeraldas Antbird,Sipia nigricauda_Esmeraldas Antbird,NA,NA
Sipia palliata,Magdalena Antbird,Sipia palliata_Magdalena Antbird,NA,NA
Siren,Siren,Siren_Siren,NA,NA
Sirystes albocinereus,White-rumped Sirystes,Sirystes albocinereus_White-rumped Sirystes,NA,NA
Sirystes albogriseus,Choco Sirystes,Sirystes albogriseus_Choco Sirystes,NA,NA
Sirystes sibilator,Sibilant Sirystes,Sirystes sibilator_Sibilant Sirystes,NA,NA
Myadestes townsendi,Townsend's Solitaire,Myadestes townsendi_Townsend's Solitaire,Townsend's Solitaire,birds
Mycteria americana,Wood Stork,Mycteria americana_Wood Stork,Wood Stork,birds
Sitta cinnamoventris,Chestnut-bellied Nuthatch,Sitta cinnamoventris_Chestnut-bellied Nuthatch,NA,NA
Sitta europaea,Eurasian Nuthatch,Sitta europaea_Eurasian Nuthatch,NA,NA
Sitta frontalis,Velvet-fronted Nuthatch,Sitta frontalis_Velvet-fronted Nuthatch,NA,NA
Sitta himalayensis,White-tailed Nuthatch,Sitta himalayensis_White-tailed Nuthatch,NA,NA
Sitta krueperi,Krüper's Nuthatch,Sitta krueperi_Krüper's Nuthatch,NA,NA
Sitta magna,Giant Nuthatch,Sitta magna_Giant Nuthatch,NA,NA
Sitta nagaensis,Chestnut-vented Nuthatch,Sitta nagaensis_Chestnut-vented Nuthatch,NA,NA
Sitta neumayer,Western Rock Nuthatch,Sitta neumayer_Western Rock Nuthatch,NA,NA
Sitta pusilla,Brown-headed Nuthatch,Sitta pusilla_Brown-headed Nuthatch,NA,NA
Myiarchus cinerascens,Ash-throated Flycatcher,Myiarchus cinerascens_Ash-throated Flycatcher,Ash-throated Flycatcher,birds
Sitta tephronota,Eastern Rock Nuthatch,Sitta tephronota_Eastern Rock Nuthatch,NA,NA
Sitta villosa,Snowy-browed Nuthatch,Sitta villosa_Snowy-browed Nuthatch,NA,NA
Sitta whiteheadi,Corsican Nuthatch,Sitta whiteheadi_Corsican Nuthatch,NA,NA
Sitta yunnanensis,Yunnan Nuthatch,Sitta yunnanensis_Yunnan Nuthatch,NA,NA
Sittasomus griseicapillus,Olivaceous Woodcreeper,Sittasomus griseicapillus_Olivaceous Woodcreeper,NA,NA
Sittiparus castaneoventris,Chestnut-bellied Tit,Sittiparus castaneoventris_Chestnut-bellied Tit,NA,NA
Sittiparus owstoni,Owston's Tit,Sittiparus owstoni_Owston's Tit,NA,NA
Sittiparus varius,Varied Tit,Sittiparus varius_Varied Tit,NA,NA
Smicrornis brevirostris,Weebill,Smicrornis brevirostris_Weebill,NA,NA
Smithornis capensis,African Broadbill,Smithornis capensis_African Broadbill,NA,NA
Smithornis rufolateralis,Rufous-sided Broadbill,Smithornis rufolateralis_Rufous-sided Broadbill,NA,NA
Snowornis subalaris,Grey-tailed Piha,Snowornis subalaris_Grey-tailed Piha,NA,NA
