"SUBNATION_NAME","NAME_CATEGORY_DESC","ELCODE","FAMILY","SNAME","SCOMNAME","GNAME","GCOMNAME","S_RANK","N_RANK","G_RANK","ORIGIN_DESC","CURR_PRESENCE_ABSENCE_DESC","EO_TRACK_STATUS_DESC","Scientific Name","English Name","BirdNET"
"Alberta","Vertebrate Animal","ABNNF11150","Scolopacidae","Calidris maritima","Purple Sandpiper","Calidris maritima","Purple Sandpiper","SNA","N3N4B,N3N4N,NUM","G5","Native","Unknown/Undetermined","Do not track","Calidris maritima","Purple Sandpiper","Calidris maritima_Purple Sandpiper"
"Alberta","Vertebrate Animal","ABNKA01010","Cathartidae","Coragyps atratus","Black Vulture","Coragyps atratus","Black Vulture","SNA","NNA","G5","Native","Unknown/Undetermined","Do not track","Coragyps atratus","American Black Vulture","Coragyps atratus_American Black Vulture"
"Alberta","Vertebrate Animal","ABPAV07010","Corvidae","Gymnorhinus cyanocephalus","Pinyon Jay","Gymnorhinus cyanocephalus","Pinyon Jay","SNA","NNA","G3","Native","Unknown/Undetermined","Do not track","Gymnorhinus cyanocephalus","Pinyon Jay","Gymnorhinus cyanocephalus_Pinyon Jay"
"Alberta","Vertebrate Animal","ABNLC10020","Phasianidae","Lagopus muta","Rock Ptarmigan","Lagopus muta","Rock Ptarmigan","SNA","N5","G5","Native","Unknown/Undetermined","Do not track","Lagopus muta","Rock Ptarmigan","Lagopus muta_Rock Ptarmigan"
"Alberta","Vertebrate Animal","ABPBX03130","Parulidae","Setophaga dominica","Yellow-throated Warbler","Setophaga dominica","Yellow-throated Warbler","SNA","N1M","G5","Native","Unknown/Undetermined","Do not track","Setophaga dominica","Yellow-throated Warbler","Setophaga dominica_Yellow-throated Warbler"
"Alberta","Vertebrate Animal","ABPAE52110","Tyrannidae","Tyrannus savana","Fork-tailed Flycatcher","Tyrannus savana","Fork-tailed Flycatcher","SNA","NNA","G5","Native","Unknown/Undetermined","Do not track","Tyrannus savana","Fork-tailed Flycatcher","Tyrannus savana_Fork-tailed Flycatcher"
"Alberta","Vertebrate Animal","ABNNF19020","Scolopacidae","Scolopax minor","American Woodcock","Scolopax minor","American Woodcock","SNA","N5B,N5M","G5","Native","Unknown/Undetermined","Do not track","Scolopax minor","American Woodcock","Scolopax minor_American Woodcock"
"Alberta","Vertebrate Animal","ABNNM03040","Laridae","Chroicocephalus ridibundus","Black-headed Gull","Chroicocephalus ridibundus","Black-headed Gull","SNA","N3B,N3N4N,NUM","G5","Native","Unknown/Undetermined","Do not track","Chroicocephalus ridibundus","Black-headed Gull","Chroicocephalus ridibundus_Black-headed Gull"
"Alberta","Vertebrate Animal","ABNME13030","Rallidae","Gallinula galeata","Common Gallinule","Gallinula galeata","Common Gallinule","SNA","N4N5B,N4N5M","G5","Native","Unknown/Undetermined","Do not track","Gallinula galeata","American Moorhen","Gallinula galeata_American Moorhen"
"Alberta","Vertebrate Animal","ABPBW01020","Vireonidae","Vireo griseus","White-eyed Vireo","Vireo griseus","White-eyed Vireo","SNA","NNA","G5","Native","Unknown/Undetermined","Do not track","Vireo griseus","White-eyed Vireo","Vireo griseus_White-eyed Vireo"
"Alberta","Vertebrate Animal","ABPBX07010","Parulidae","Protonotaria citrea","Prothonotary Warbler","Protonotaria citrea","Prothonotary Warbler","SNA","N1B,NNRM","G5","Native","Unknown/Undetermined","Do not track","Protonotaria citrea","Prothonotary Warbler","Protonotaria citrea_Prothonotary Warbler"
"Alberta","Vertebrate Animal","ABPBX94010","Passerellidae","Spizelloides arborea","American Tree Sparrow","Spizelloides arborea","American Tree Sparrow","S3B,SUN","N5B,N5N,N5M","G5","Native","Present","Track on a watch list only","Spizelloides arborea","American Tree Sparrow","Spizelloides arborea_American Tree Sparrow"
